Date,Developer,Project,Total_Units,Sold_Units,Unsold_Units,Take_Up_Rate
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-1 TAMAN VISTA BELIMBING,131,131,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-10 IMPIANA @ LOT PT 6591 MUKIM PAYA RUMPUT,90,87,3,96.7
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-11 TAMAN PERLING IMPIAN,222,200,22,90.1
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-12 TAMAN PERLING IMPIAN,93,45,48,48.4
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-2 TAMAN BERTAM IMPIAN,147,147,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-3 TAMAN BERTAM IMPIAN,34,34,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-4 TAMAN VISTA BELIMBING,56,56,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-5 TAMAN VISTA BELIMBING,45,45,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-6 TAMAN VISTA BELIMBING,64,64,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-7 TAMAN VISTA BELIMBING,98,98,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-8 TAMAN VISTA BELIMBING,3,3,0,100
12/21/2025,FIXMAX ENTITY SDN. BHD,19373-9 TAMAN VISTA BELIMBING,77,76,1,98.7
12/21/2025,NKS,4818-20 TAMAN SERI SONGKET,207,207,0,100
12/21/2025,NKS,4818-22 TAMAN MERBOK,207,207,0,100
12/21/2025,NKS,4818-24 TAMAN DELIMA RAYA,207,207,0,100
12/21/2025,NKS,4818-25 TAMAN PULAU GADONG JAYA,207,207,0,100
12/21/2025,NKS,4818-26 TAMAN PULAU GADONG JAYA,207,207,0,100
12/21/2025,NKS,4818-27 TAMAN MERAK MAS,207,207,0,100
12/21/2025,NKS,4818-28 TAMAN VISTA BELIMBING,207,207,0,100
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-1 TAMAN GADEK INDAH,15,15,0,100
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-2 TAMAN SRI TANJUNG DAHAN,11,11,0,100
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-3 TAMAN MUHIBBAH,25,25,0,100
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-4 TAMAN BANDAR BARU SIMPANG EMPAT,23,23,0,100
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-5 TAMAN MUHIBBAH,30,29,1,96.7
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-6 TAMAN TANJONG MINYAK JAYA,91,66,25,72.5
12/21/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-7 RESIDENSI BACHANG,140,32,108,22.9
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-10 TAMAN KRUBONG UTAMA,96,96,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-11 TANJONG MINYAK JAYA,14,14,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-12 TAMAN TANJONG MINYAK JAYA,9,9,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-13 TAMAN SAUJANA INDAH,7,0,7,0
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-14 TAMAN TANJONG MINYAK JAYA,10,10,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-15 TAMAN TANJONG MINYAK JAYA,22,0,22,0
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-2 TAMAN SAUJANA INDAH,337,337,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-3 TAMAN SAUJANA INDAH,337,337,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-4 TAMAN SAUJANA INDAH,337,337,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-6 TAMAN SAUJANA INDAH,337,337,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-8 TAMAN SAUJANA INDAH,337,337,0,100
12/21/2025,SINMAH DEVELOPMENT SDN. BHD,6259-9 TAMAN KRUBONG UTAMA,337,337,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-1 TAMAN VISTA BELIMBING,131,21,110,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-10 IMPIANA @ LOT PT 6591 MUKIM PAYA RUMPUT,90,77,13,96.7
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-11 TAMAN PERLING IMPIAN,222,190,32,90.1
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-12 TAMAN PERLING IMPIAN,93,35,58,48.4
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-2 TAMAN BERTAM IMPIAN,147,137,10,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-3 TAMAN BERTAM IMPIAN,34,34,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-4 TAMAN VISTA BELIMBING,56,56,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-5 TAMAN VISTA BELIMBING,45,45,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-6 TAMAN VISTA BELIMBING,64,64,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-7 TAMAN VISTA BELIMBING,98,98,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-8 TAMAN VISTA BELIMBING,3,3,0,100
12/1/2025,FIXMAX ENTITY SDN. BHD,19373-9 TAMAN VISTA BELIMBING,77,76,1,98.7
12/1/2025,NKS,4818-20 TAMAN SERI SONGKET,207,207,0,100
12/1/2025,NKS,4818-22 TAMAN MERBOK,207,207,0,100
12/1/2025,NKS,4818-24 TAMAN DELIMA RAYA,207,207,0,100
12/1/2025,NKS,4818-25 TAMAN PULAU GADONG JAYA,207,207,0,100
12/1/2025,NKS,4818-26 TAMAN PULAU GADONG JAYA,207,207,0,100
12/1/2025,NKS,4818-27 TAMAN MERAK MAS,207,207,0,100
12/1/2025,NKS,4818-28 TAMAN VISTA BELIMBING,207,207,0,100
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-1 TAMAN GADEK INDAH,15,15,0,100
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-2 TAMAN SRI TANJUNG DAHAN,11,11,0,100
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-3 TAMAN MUHIBBAH,25,25,0,100
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-4 TAMAN BANDAR BARU SIMPANG EMPAT,23,23,0,100
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-5 TAMAN MUHIBBAH,30,29,1,96.7
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-6 TAMAN TANJONG MINYAK JAYA,91,66,25,72.5
12/1/2025,SERTA LEGA DEVELOPMENT SDN. BHD,19440-7 RESIDENSI BACHANG,140,32,108,22.9
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-10 TAMAN KRUBONG UTAMA,96,96,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-11 TANJONG MINYAK JAYA,14,14,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-12 TAMAN TANJONG MINYAK JAYA,9,9,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-13 TAMAN SAUJANA INDAH,7,0,7,0
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-14 TAMAN TANJONG MINYAK JAYA,10,10,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-15 TAMAN TANJONG MINYAK JAYA,22,0,22,0
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-2 TAMAN SAUJANA INDAH,337,337,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-3 TAMAN SAUJANA INDAH,337,337,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-4 TAMAN SAUJANA INDAH,337,337,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-6 TAMAN SAUJANA INDAH,337,337,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-8 TAMAN SAUJANA INDAH,337,337,0,100
12/1/2025,SINMAH DEVELOPMENT SDN. BHD,6259-9 TAMAN KRUBONG UTAMA,337,337,0,100
2025-12-20,ANJURAN LAGENDA SDN. BHD,30348-1 TAMAN PENGKALAN IMPIAN,170,170,0,100.0
2025-12-20,ANJURAN LAGENDA SDN. BHD,30348-2 TAMAN PENGKALAN IMPIAN,260,249,11,95.8
2025-12-20,ANJURAN LAGENDA SDN. BHD,30348-3 TAMAN PENGKALAN IMPIAN,201,199,2,99.0
2025-12-20,ANJURAN LAGENDA SDN. BHD,30348-4 TAMAN PENGKALAN IMPIAN,146,46,100,31.5
2025-12-20,ANJURAN LAGENDA SDN. BHD,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,196,122,74,62.2
