Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-001,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
2,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
3,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
4,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
5,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-005,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
6,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-007,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
7,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-008,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
8,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-009,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
9,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
10,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-011,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
11,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-012,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
12,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-013,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
13,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-014,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
14,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-015,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
15,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-016,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
16,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-017,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
17,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-018,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
18,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 1-019,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
19,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-001,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
20,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-002,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
21,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-003,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
22,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-004,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
23,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-005,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
24,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-006,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
25,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-007,"RM 70,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
26,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-008,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
27,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-009,"RM 70,000.00","RM 70,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
28,30348-5 TAMAN PENGKALAN IMPIAN FASA 1C,30348 ANJURAN LAGENDA SDN. BHD.,30348-5/09-2028/0749(N)-(S),-,KR 2-010,"RM 72,800.00","RM 72,800.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
