Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Pangsa/Kondo,5,3,2,0,196,"70,000.00","124,800.00",30.41,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-4,TAMAN PENGKALAN IMPIAN,Rumah Bandar,2,3,2,0,46,"180,000.00","291,060.00",36.96,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-4,TAMAN PENGKALAN IMPIAN,Rumah Bandar,2,3,2,0,44,"180,000.00","293,220.00",25.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-4,TAMAN PENGKALAN IMPIAN,Rumah Bandar,2,3,2,0,56,"180,000.00","285,660.00",25.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-3,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,4,"3, 4",167,15,"453,000.00","608,580.00",89.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-3,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,4,3,156,39,"433,000.00","625,860.00",88.85,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-3,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,"3, 4","2, 3, 32",125,147,"250,000.00","363,420.00",90.10,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30348-2,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,4,3,167,149,"468,000.00","684,600.00",100.00,Siap Dengan CCC,01/10/2025,01/10/2025,2025-12-25,2025-12-25 12:14:11
30348-2,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,"3, 4","2, 3",156,111,"448,000.00","598,860.00",100.00,Siap Dengan CCC,01/10/2025,01/10/2025,2025-12-25,2025-12-25 12:14:11
30348-1,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,"3, 4","3, 4",194 - 201,146,"438,000.00","627,900.00",100.00,Siap Dengan CCC,21/02/2025,24/02/2025,2025-12-25,2025-12-25 12:14:11
30348-1,TAMAN PENGKALAN IMPIAN,Rumah Teres,2,"3, 4","2, 3, 4",165 - 168,24,"418,000.00","525,420.00",100.00,Siap Dengan CCC,21/02/2025,24/02/2025,2025-12-25,2025-12-25 12:14:11
