Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,1,3,1,81,39,"104,200.00","170,000.00",52.44,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-10,TAMAN SERAMBI GAPAM,Rumah Teres,1,4,2,141,76,"382,950.00","540,500.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-10,TAMAN SERAMBI GAPAM,Rumah Teres,2,5,"2, 3",240 - 252,69,"546,250.00","737,459.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-9,TAMAN SERAMBI GAPAM,Rumah Teres,1,4,2,141 - 154,11,"382,950.00","394,450.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-9,TAMAN SERAMBI GAPAM,Rumah Teres,2,0,0,240 - 252,2,"546,250.00","679,650.00",87.50,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-9,TAMAN SERAMBI GAPAM,Rumah Teres,1,3,2,98,57,"207,000.00","277,955.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-9,TAMAN SERAMBI GAPAM,Rumah Teres,1,3,2,98,7,"210,450.00","270,135.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,1,4,2,152,4,"661,300.00","808,280.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,1,4,2,157,23,"657,680.00","846,100.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,1.5,5,3,199,33,"775,500.00","1,009,860.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,1.5,5,3,191,3,"765,160.00","780,120.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,2,0,0,234,2,"998,450.00","1,128,250.00",100.00,Siap Dengan CCC,03/04/2025,-,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,2,0,0,258,2,"998,450.00","1,129,360.00",100.00,Siap Dengan CCC,03/04/2025,-,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,2,"4, 5",3,241,33,"998,450.00","1,089,150.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,2,0,0,229,5,"997,100.00","1,128,250.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-8,TAMAN ANJUNG GAPAM,Rumah Sesebuah,2,"5, 6","3, 4",279,18,"1,036,020.00","1,261,090.00",100.00,Siap Dengan CCC,03/04/2025,03/04/2025,2025-12-25,2025-12-25 12:14:11
14677-7,TAMAN ANJUNG GAPAM,Rumah Teres,1,3,2,98,180,"157,000.00","266,950.00",100.00,Siap Dengan CCC,24/11/2023,24/11/2023,2025-12-25,2025-12-25 12:14:11
14677-6,TAMAN ANJUNG GAPAM,Rumah Sesebuah,1.5,"4, 5",3,199,41,"578,000.00","748,000.00",100.00,Siap Dengan CCC,14/12/2023,14/12/2023,2025-12-25,2025-12-25 12:14:11
14677-6,TAMAN ANJUNG GAPAM,Rumah Sesebuah,1,4,2,157,34,"488,000.00","738,000.00",100.00,Siap Dengan CCC,14/12/2023,14/12/2023,2025-12-25,2025-12-25 12:14:11
14677-5,TAMAN ANJUNG GAPAM,Rumah Teres,1,3,2,98,180,"166,250.00","274,000.00",100.00,Siap Dengan CCC,29/12/2022,03/01/2023,2025-12-25,2025-12-25 12:14:11
14677-4,BINTANG URUSJUTA (M) SDN BHD,Rumah Sesebuah,1.5,0,0,198,58,"590,000.00","755,000.00",100.00,Siap Dengan CCC,27/04/2021,-,2025-12-25,2025-12-25 12:14:11
14677-4,BINTANG URUSJUTA (M) SDN BHD,Rumah Sesebuah,2,0,0,252,15,"699,000.00","773,000.00",100.00,Siap Dengan CCC,27/04/2021,-,2025-12-25,2025-12-25 12:14:11
