Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
12308-8,COUNTRY VILLAS RESORT,Rumah Berkembar,2,5,6,334,43,"1,297,000.00","1,400,000.00",34.65,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
12308-8,COUNTRY VILLAS RESORT,Rumah Berkembar,2,5,6,328,5,"1,264,000.00","1,264,000.00",42.00,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
12308-8,COUNTRY VILLAS RESORT,Rumah Sesebuah,3,0,0,430,1,"1,818,000.00","1,818,000.00",40.00,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
12308-8,COUNTRY VILLAS RESORT,Rumah Sesebuah,3,0,0,445,15,"1,860,000.00","1,960,000.00",35.33,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
12308-7,COUNTRY VILLAS RESORT,Rumah Teres,2,4,4,235 - 252,128,"645,000.00","809,000.00",100.00,Siap Dengan CCC,20/03/2025,25/03/2025,2025-12-20,2025-12-20 10:46:36
12308-6,COUNTRY VILLAS RESORT,Rumah Berkembar,2,0,0,345,2,"856,800.00","952,000.00",100.00,Siap Dengan CCC,20/07/2023,09/08/2023,2025-12-20,2025-12-20 10:46:36
12308-6,COUNTRY VILLAS RESORT,Rumah Sesebuah,2,0,0,375,4,"1,131,000.00","1,174,000.00",100.00,Siap Dengan CCC,20/07/2023,08/08/2023,2025-12-20,2025-12-20 10:46:36
12308-6,COUNTRY VILLAS RESORT,Rumah Sesebuah,2,0,0,445,4,"1,308,000.00","1,390,000.00",100.00,Siap Dengan CCC,20/07/2023,04/08/2023,2025-12-20,2025-12-20 10:46:36
12308-6,COUNTRY VILLAS RESORT,Rumah Berkembar,2,4,6,340,56,"905,000.00","938,000.00",100.00,Siap Dengan CCC,20/07/2023,29/07/2023,2025-12-20,2025-12-20 10:46:36
12308-5,COUNTRY VILLAS RESORT,Rumah Teres,2,0,0,215,183,"500,000.00","730,000.00",100.00,Siap Dengan CCC,29/10/2021,-,2025-12-20,2025-12-20 10:46:36
12308-4,COUNTRY VILLAS RESORT,Rumah Teres,2,0,0,221,108,"514,000.00","619,000.00",100.00,Siap Dengan CCC,05/05/2020,-,2025-12-20,2025-12-20 10:46:36
12308-3,COUNTRY VILLAS RESORT,Rumah Teres,2,0,0,202,64,"405,000.00","546,000.00",100.00,Siap Dengan CCC,30/08/2018,-,2025-12-20,2025-12-20 10:46:36
12308-2,PEBBLE BEACH,Rumah Teres,2,0,0,216,64,"517,000.00","682,500.00",100.00,Siap Dengan CCC,19/01/2017,-,2025-12-20,2025-12-20 10:46:36
12308-2,PEBBLE BEACH,Rumah Teres,1.5,0,0,178,65,"423,000.00","588,400.00",100.00,Siap Dengan CCC,19/01/2017,-,2025-12-20,2025-12-20 10:46:36
12308-2,PEBBLE BEACH,Rumah Teres,2.5,0,0,269,46,"636,000.00","826,000.00",100.00,Siap Dengan CCC,19/01/2017,-,2025-12-20,2025-12-20 10:46:36
12308-1,COUNTRY VILLAS RESORT SDN BHD,Rumah Teres,2,0,0,143,142,"328,000.00","388,000.00",100.00,Siap Dengan CCC,02/09/2015,-,2025-12-20,2025-12-20 10:46:36
12308-1,COUNTRY VILLAS RESORT SDN BHD,Rumah Teres,2,0,0,143,20,"368,000.00","378,000.00",100.00,Siap Dengan CCC,02/09/2015,-,2025-12-20,2025-12-20 10:46:36
12308-1,COUNTRY VILLAS RESORT SDN BHD,Rumah Teres,2,0,0,143,59,"295,800.00","398,000.00",100.00,Siap Dengan CCC,02/09/2015,-,2025-12-20,2025-12-20 10:46:36
