Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
19373-12,TAMAN PERLING IMPIAN,Rumah Teres,1,4,2,136 - 140,32,"423,000.00","583,200.00",14.38,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-12,TAMAN PERLING IMPIAN,Rumah Teres,1,4,2,125 - 129,46,"393,000.00","589,600.00",5.00,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-12,TAMAN PERLING IMPIAN,Rumah Teres,1,4,2,125 - 129,15,"367,000.00","522,000.00",10.00,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-11,TAMAN PERLING IMPIAN,Rumah Teres,1,4,2,136 - 140,16,"403,000.00","563,200.00",57.50,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-11,TAMAN PERLING IMPIAN,Rumah Teres,1,4,2,136 - 140,16,"378,000.00","532,000.00",53.75,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-11,TAMAN PERLING IMPIAN,Rumah Teres,1,3,2,106 - 110,95,"179,000.00","249,000.00",41.05,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-11,TAMAN PERLING IMPIAN,Rumah Teres,1,4,2,115 - 120,95,"247,000.00","356,000.00",45.21,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-10,IMPIANA @ LOT PT 6591 MUKIM PAYA RUMPUT,Rumah Teres,2,4,4,0,6,"580,000.00","637,000.00",97.50,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-10,IMPIANA @ LOT PT 6591 MUKIM PAYA RUMPUT,Rumah Teres,2,4,4,0,41,"650,000.00","816,000.00",97.50,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-10,IMPIANA @ LOT PT 6591 MUKIM PAYA RUMPUT,Rumah Teres,2,4,4,0,43,"645,000.00","926,800.00",97.50,Lancar,-,-,2025-12-21,2025-12-21 03:02:15
19373-9,TAMAN VISTA BELIMBING,Rumah Berkembar,2,4,4,244,76,"592,200.00","861,000.00",100.00,Siap Dengan CCC,23/05/2024,24/05/2024,2025-12-21,2025-12-21 03:02:15
19373-9,TAMAN VISTA BELIMBING,Rumah Sesebuah,2,0,0,509,1,"309,000.00","309,000.00",100.00,Siap Dengan CCC,23/05/2024,24/05/2024,2025-12-21,2025-12-21 03:02:15
19373-8,TAMAN VISTA BELIMBING,Rumah Berkembar,2,0,0,244,4,"662,000.00","717,000.00",100.00,Siap Dengan CCC,23/05/2024,27/05/2024,2025-12-21,2025-12-21 03:02:15
19373-7,TAMAN VISTA BELIMBING,Rumah Berkembar,1,0,0,145,28,"359,300.00","535,000.00",100.00,Siap Dengan CCC,12/10/2023,26/10/2023,2025-12-21,2025-12-21 03:02:15
19373-7,TAMAN VISTA BELIMBING,Rumah Berkembar,2,0,0,244,70,"538,000.00","900,000.00",100.00,Siap Dengan CCC,12/10/2023,20/10/2023,2025-12-21,2025-12-21 03:02:15
19373-6,TAMAN VISTA BELIMBING,Rumah Berkembar,1,0,0,145,66,"428,000.00","569,600.00",100.00,Siap Dengan CCC,22/06/2021,-,2025-12-21,2025-12-21 03:02:15
19373-5,TAMAN VISTA BELIMBING,Rumah Berkembar,1,0,0,145,16,"428,000.00","543,400.00",100.00,Siap Dengan CCC,24/06/2021,-,2025-12-21,2025-12-21 03:02:15
19373-5,TAMAN VISTA BELIMBING,Rumah Berkembar,2,0,0,244,32,"558,000.00","662,600.00",100.00,Siap Dengan CCC,24/06/2021,-,2025-12-21,2025-12-21 03:02:15
19373-4,TAMAN VISTA BELIMBING,Rumah Berkembar,1,0,0,145,16,"428,000.00","499,900.00",100.00,Siap Dengan CCC,22/06/2021,-,2025-12-21,2025-12-21 03:02:15
19373-4,TAMAN VISTA BELIMBING,Rumah Berkembar,2,0,0,244,44,"562,300.00","752,900.00",100.00,Siap Dengan CCC,22/06/2021,-,2025-12-21,2025-12-21 03:02:15
19373-3,TAMAN BERTAM IMPIAN,Rumah Berkembar,1,0,0,137,32,"372,000.00","500,000.00",100.00,Siap Dengan CCC,27/10/2020,-,2025-12-21,2025-12-21 03:02:15
19373-3,TAMAN BERTAM IMPIAN,Rumah Sesebuah,1,0,0,114,2,"514,000.00","534,000.00",100.00,Siap Dengan CCC,27/10/2020,-,2025-12-21,2025-12-21 03:02:15
19373-2,TAMAN BERTAM IMPIAN,Rumah Teres,1,0,0,98,77,"210,000.00","330,000.00",100.00,Siap Dengan CFO,10/11/2020,-,2025-12-21,2025-12-21 03:02:15
19373-2,TAMAN BERTAM IMPIAN,Rumah Teres,1,0,0,107,71,"230,000.00","350,000.00",100.00,Siap Dengan CFO,10/11/2020,-,2025-12-21,2025-12-21 03:02:15
19373-1,TAMAN VISTA BELIMBING,Rumah Teres,2,0,0,234,16,"492,000.00","567,400.00",100.00,Siap Dengan CCC,05/12/2019,-,2025-12-21,2025-12-21 03:02:15
19373-1,TAMAN VISTA BELIMBING,Rumah Berkembar,1,0,0,141,122,"420,700.00","674,700.00",100.00,Siap Dengan CCC,05/12/2019,-,2025-12-21,2025-12-21 03:02:15
