Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39393,PT 1397,"RM 576,300.00","RM 576,300.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
2,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39394,PT 1398,"RM 423,000.00","RM 423,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
3,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39395,PT 1399,"RM 423,000.00","RM 423,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
4,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39396,PT 1400,"RM 423,000.00","RM 423,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
5,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39397,PT 1401,"RM 423,000.00","RM 423,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
6,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39398,PT 1402,"RM 423,000.00","RM 423,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
7,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39399,PT 1403,"RM 423,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
8,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39400,PT 1404,"RM 423,000.00","RM 423,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
9,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39401,PT 1405,"RM 423,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
10,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39402,PT 1406,"RM 423,000.00","RM 423,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
11,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39403,PT 1407,"RM 423,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
12,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39404,PT 1408,"RM 423,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
13,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39405,PT 1409,"RM 423,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
14,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39406,PT 1410,"RM 423,000.00","RM 423,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
15,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),HSD 39407,PT 1411,"RM 423,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
