Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,1,0,0,74,43,"150,000.00","187,845.00",100.00,Siap Dengan CCC,30/07/2018,-,2025-12-25,2025-12-25 12:14:11
9778-4,"TAMAN INDAH, SG UDANG, MELAKA",Rumah Teres,1,0,0,74,103,"150,000.00","238,035.00",100.00,Siap Dengan CCC,29/01/2018,-,2025-12-25,2025-12-25 12:14:11
9778-3,TAMAN INDAH,Rumah Berkembar,1,0,0,129,42,"270,000.00","467,615.00",100.00,Siap Dengan CCC,23/01/2013,-,2025-12-25,2025-12-25 12:14:11
9778-3,TAMAN INDAH,Rumah Teres,2,0,0,143,12,"210,000.01","308,448.70",100.00,Siap Dengan CCC,13/01/2012,-,2025-12-25,2025-12-25 12:14:11
9778-3,TAMAN INDAH,Rumah Teres,2,0,0,134,48,"230,000.00","307,238.50",100.00,Siap Dengan CCC,09/04/2014,-,2025-12-25,2025-12-25 12:14:11
9778-3,TAMAN INDAH,Rumah Teres,1,0,0,138,20,"145,000.01","232,948.01",100.00,Siap Dengan CCC,25/01/2013,-,2025-12-25,2025-12-25 12:14:11
9778-3,TAMAN INDAH,Rumah Teres,1,0,0,138,75,"135,000.00","251,508.00",100.00,Siap Dengan CCC,23/01/2013,-,2025-12-25,2025-12-25 12:14:11
9778-3,TAMAN INDAH,Rumah Teres,1,0,0,133,38,"145,000.00","232,948.00",100.00,Siap Dengan CCC,09/04/2014,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,1,0,0,0,78,"115,000.00","224,601.00",100.00,Siap Dengan CFO,22/12/2009,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,1,0,0,0,63,"95,000.00","156,623.90",100.00,Siap Dengan CFO,17/07/2008,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,1,0,0,0,103,"110,000.00","177,275.00",100.00,Siap Dengan CFO,17/07/2008,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,2,0,0,0,97,"190,000.00","296,198.50",100.00,Siap Dengan CFO,03/04/2009,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,1,0,0,0,78,"115,000.01","140,000.00",100.00,Siap Dengan CFO,22/12/2009,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,2,0,0,0,6,"210,000.00","288,000.00",100.00,Siap Dengan CFO,23/06/2010,-,2025-12-25,2025-12-25 12:14:11
9778-2,TAMAN INDAH,Rumah Teres,1,0,0,0,68,"135,000.00","160,000.00",100.00,Siap Dengan CFO,07/09/2011,-,2025-12-25,2025-12-25 12:14:11
9778-1,TAMAN PAYA RUMPUT INDAH II,Rumah Teres,2,0,0,0,45,"180,000.00","278,925.00",100.00,Siap Dengan CFO,11/09/2007,-,2025-12-25,2025-12-25 12:14:11
9778-1,TAMAN PAYA RUMPUT INDAH II,Rumah Teres,2,0,0,0,68,"190,000.00","319,625.00",53.50,Siap Dengan CFO,11/09/2007,-,2025-12-25,2025-12-25 12:14:11
9778-1,TAMAN PAYA RUMPUT INDAH II,Rumah Berkembar,1,0,0,0,28,"250,000.00","369,175.00",100.00,-,11/09/2007,-,2025-12-25,2025-12-25 12:14:11
9778-1,TAMAN PAYA RUMPUT INDAH II,Rumah Berkembar,1,0,0,0,4,"280,000.00","388,650.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
9778-1,TAMAN PAYA RUMPUT INDAH II,Rumah Teres,1,0,0,0,45,"110,000.00","201,075.00",100.00,-,11/09/2007,-,2025-12-25,2025-12-25 12:14:11
9778-1,TAMAN PAYA RUMPUT INDAH II,Rumah Teres,1,0,0,0,39,"125,000.00","204,600.00",100.00,-,11/09/2007,-,2025-12-25,2025-12-25 12:14:11
