Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P013,M2P013,"RM 160,500.00","RM 160,500.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
2,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P002,M2P002,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
3,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P018,M2P018,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
4,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P022,M2P022,"RM 160,500.00","RM 160,500.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
5,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P023,M2P023,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
6,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P035,M2P035,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
7,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P013A,M2P013A,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
8,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P007,M2P007,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
9,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P010,M2P010,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
10,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),M2P016,M2P016,"RM 150,000.00","RM 150,000.00",Telah Dijual,Ya,2025-12-28,2025-12-28 05:03:30
