Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.302967,102.201050",Melaka Tengah,Melaka,Mula: 01 Nov 2016   Tamat: 31 Okt 2017,2025-12-28,2025-12-28 05:03:30
2,11508-2 TAMAN PAYA RUMPUT PERDANA FASA 2,11508 GJH AVENUE SDN. BHD.,11508-2/05-2017/01739(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.302667,102.207122",Melaka Tengah,Melaka,Mula: 23 Mei 2016   Tamat: 22 Mei 2017,2025-12-28,2025-12-28 05:03:30
3,11508-1 GJH AVENUE SDN BHD,11508 GJH AVENUE SDN. BHD.,11508-1/166/2013(01),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 17 Jan 2012   Tamat: 16 Jan 2013,2025-12-28,2025-12-28 05:03:30
4,11080-3 TAMAN VISTA KIRANA,11080 GJH PROPERTIES SDN. BHD.,11080-3/08-2014/0533(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 09 Ogo 2013   Tamat: 08 Ogo 2014,2025-12-28,2025-12-28 05:03:30
5,11080-2 GJH PROPERTIES SDN BHD,11080 GJH PROPERTIES SDN. BHD.,11080-2/07-2015/02029(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 16 Jul 2014   Tamat: 15 Jul 2015,2025-12-28,2025-12-28 05:03:30
6,11080-1 TAMAN VISTA KIRANA,11080 GJH PROPERTIES SDN. BHD.,11080-1/143/2012(01),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 19 Jan 2011   Tamat: 18 Jan 2012,2025-12-28,2025-12-28 05:03:30
7,9697-9 TAMAN PAYA RUMPUT ABADI,9697 GJH DEVELOPMENT SDN. BHD.,9697-9/08-2025/0542(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.285167,102.228028",Melaka Tengah,Melaka,Mula: 05 Ogo 2024   Tamat: 04 Ogo 2025,2025-12-28,2025-12-28 05:03:30
8,9697-5 GJH DEVELOPMENT SDN BHD,9697 GJH DEVELOPMENT SDN. BHD.,9697-5/07-2015/02047(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.318300,102.435597",Jasin,Melaka,Mula: 21 Jul 2014   Tamat: 20 Jul 2015,2025-12-28,2025-12-28 05:03:30
9,9697-3 TAMAN KRUBONG PERDANA PHASE 2,9697 GJH DEVELOPMENT SDN. BHD.,9697-3/265/2011(02),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 05 Feb 2010   Tamat: 04 Feb 2011,2025-12-28,2025-12-28 05:03:30
10,9697-2 GJH DEVELOPMENT SDN BHD,9697 GJH DEVELOPMENT SDN. BHD.,9697-2/113/2011(01),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 18 Jan 2010   Tamat: 07 Jan 2011,2025-12-28,2025-12-28 05:03:30
11,9697-1 TAMAN DELIMA RAYA,9697 GJH DEVELOPMENT SDN. BHD.,9697-1/1721/2007(08),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 23 Ogo 2006   Tamat: 22 Ogo 2007,2025-12-28,2025-12-28 05:03:30
