Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Kluster,3,0,0,86,54,"85,000.00","154,200.00",100.00,Siap Dengan CCC,17/08/2017,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Kluster,2,0,0,87,104,"99,000.00","187,500.00",100.00,Siap Dengan CCC,17/08/2017,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Kluster,2,0,0,87,132,"99,000.00","163,025.00",100.00,Siap Dengan CCC,17/08/2017,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Kluster,2,0,0,87,72,"99,000.00","200,425.00",100.00,Siap Dengan CCC,17/08/2017,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Bandar,2,0,0,82,116,"92,000.00","142,075.00",96.64,Siap Dengan CCC,17/08/2017,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,1.5,0,0,0,20,"417,000.00","455,900.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,1.5,0,0,0,3,"422,300.00","422,300.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,1,0,0,0,1,"401,700.00","401,700.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,2,0,0,248,84,"570,000.01","726,300.01",100.00,Siap Dengan CCC,11/08/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,1.5,0,0,0,38,"419,000.00","530,700.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,2,0,0,0,197,"590,700.00","852,400.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,2,0,0,0,162,"570,000.00","726,300.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,1.5,0,0,0,2,"420,300.00","420,300.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,2,0,0,248,99,"570,000.00","726,300.00",100.00,Siap Dengan CCC,29/08/2016,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,1,0,0,0,56,"356,000.00","582,200.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,2,0,0,0,58,"615,000.00","1,232,300.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-2,TAMAN PAYA RUMPUT PERDANA FASA 2,Rumah Sesebuah,2,0,0,0,112,"603,000.00","799,200.00",100.00,Siap Dengan CCC,14/02/2014,-,2025-12-25,2025-12-25 12:14:11
11508-1,GJH AVENUE SDN BHD,Rumah Sesebuah,1,0,0,0,406,"334,000.00","723,000.00",100.00,Siap Dengan CCC,25/04/2013,-,2025-12-25,2025-12-25 12:14:11
