Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M15/T1/197,M15/T1/197,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
2,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M20/T1/240,M20/T1/240,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
3,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M23/T1/262,M23/T1/262,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M25/T2/281,M25/T2/281,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
5,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M25/T2/282,M25/T2/282,"RM 99,000.00","RM 99,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
6,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M26/T1/287,M26/T1/287,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
7,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M26/T1/288,M26/T1/288,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
8,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M27/T1/293,M27/T1/293,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
9,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M27/T1/295,M27/T1/295,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
10,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M27/T1/296,M27/T1/296,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
11,11508-3 TAMAN PAYA RUMPUT PERDANA (RUMAH BANDAR & KLUSTER),11508 GJH AVENUE SDN. BHD.,11508-3/10-2017/02808(P),M28/T1/302,M28/T1/302,"RM 114,870.00","RM 114,870.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
