Project_Code,Project_Name,Kod Projek & Nama Projek,Bil,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,1,HS(D)90524,PT9920,"RM 692,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,2,HS(D)90525,PT9921,"RM 542,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,3,HS(D)90526,PT9922,"RM 544,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,4,HS(D)90527,PT9923,"RM 545,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,5,HS(D)90528,PT9924,"RM 547,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,6,HS(D)90529,PT9925,"RM 548,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,7,HS(D)90530,PT9926,"RM 550,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,8,HS(D)90531,PT9927,"RM 551,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,9,HS(D)90532,PT9928,"RM 552,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,10,HS(D)90533,PT9929,"RM 553,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
