Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5116,PT20484,"RM 593,000.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
2,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5117,PT20485,"RM 497,000.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
3,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5118,PT20486,"RM 498,000.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
4,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5119,PT20487,"RM 500,000.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
5,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5120,PT20488,"RM 504,000.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5121,PT20489,"RM 506,795.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
7,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5122,PT20490,"RM 509,225.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
8,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5123,PT20491,"RM 511,655.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
9,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5124,PT20492,"RM 513,590.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
10,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5125,PT20493,"RM 515,590.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
11,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5126,PT20494,"RM 564,000.00",-,Belum Dijual,Ya,2025-12-25,2025-12-25 12:14:11
12,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5127,PT20495,"RM 556,190.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
13,14587-2 TAMAN BERTAM PUTRA,14587 MIDAS DIMENSI SDN. BHD.,14587-2/05-2026/0468(N)-(L),H.S.(M) 5128,PT20496,"RM 504,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
