Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242 & GM 109,LOT 685 / PLOT 9,"RM 526,021.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
2,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 10,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
3,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 11,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
4,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 12,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
5,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 13,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
6,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 14,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
7,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 15,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
8,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 16,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
9,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 17,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
10,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 617 & GM 242,LOT 2830 & LOT 685 / PLOT 18,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
11,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 617,LOT 2830 / PLOT 19,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
12,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 617,LOT 2830 / PLOT 20,"RM 481,521.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
13,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 617,LOT 2830 / PLOT 21,"RM 481,521.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
14,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 617,LOT 2830 / PLOT 22,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
15,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 617 & GM 242,LOT 2830 & LOT 685 / PLOT 23,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
16,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 24,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
17,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 25,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
18,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 26,"RM 400,500.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
19,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 27,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
20,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 28,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
21,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 29,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
22,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 30,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
23,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 31,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
24,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242 & GM 109,LOT 685 / PLOT 32,"RM 526,021.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 14:42:05
25,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242 & GM 109,LOT 685 & LOT 686 / PLOT 33,"RM 460,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
26,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 34,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
27,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 35,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
28,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 36,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
29,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 37,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
30,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 38,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
31,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 39,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
32,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 40,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
33,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 41,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
34,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 42,"RM 312,300.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
35,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 43,"RM 263,700.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
36,30825-2 TAMAN SELANDAR PERDANA,30825 MUTIARA LAFAZ SDN. BHD.,30825-2/11-2027/0918(N)-(L),GM 242,LOT 685 / PLOT 44,"RM 263,700.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 14:42:05
