Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
30825-2,TAMAN SELANDAR PERDANA,Rumah Kluster,1,4,2,120,24,"400,500.00","526,021.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-2,TAMAN SELANDAR PERDANA,Rumah Teres,1,4,2,112,10,"312,300.00","460,300.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-2,TAMAN SELANDAR PERDANA,Rumah Teres,1,4,2,112,5,"263,700.00","281,700.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-2,TAMAN SELANDAR PERDANA,Rumah Teres,1,4,2,111,30,"261,000.00","354,000.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-2,TAMAN SELANDAR PERDANA,Rumah Teres,1,4,2,92,33,"228,950.00","321,000.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-2,TAMAN SELANDAR PERDANA,Rumah Teres,1,3,2,83,26,"149,000.00","204,000.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-2,TAMAN SELANDAR PERDANA,Rumah Teres,1,3,2,74,36,"99,000.00","151,000.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
30825-1,TAMAN TAMPOI DAMAI,Rumah Teres,1,4,2,102 - 102,18,"357,000.00","504,972.00",40.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30825-1,TAMAN TAMPOI DAMAI,Rumah Berkembar,1,4,2,139,8,"503,525.00","505,351.00",40.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
30825-1,TAMAN TAMPOI DAMAI,Rumah Sesebuah,2,4,3,213,1,"629,104.00","629,104.00",25.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
