Project Name,Developer,Status,Scraped_Date
"31199-1
TAMAN BANDAR BAHARU KIJAL","31199
MEGATECH PROPERTIES SDN. BHD.",BELUM MULA,2025-12-21
"31179-1
OSK ARECA","31179
ASTANA HARMONI SDN. BHD.",BELUM MULA,2025-12-21
"31148-1
TAMAN BUNGA RAYA","31148
ALAM MAJU LAND SDN. BHD.",BELUM MULA,2025-12-21
"31135-1
PRESINT BOTANI 1","31135
ECO BOTANIC 3 SDN. BHD.",LANCAR,2025-12-21
"31116-1
TAMAN GEMILANG 2","31116
JAYAMAS HARMONY SDN. BHD.",BELUM MULA,2025-12-21
"31104-1
PANGSAPURI GEMILANG TWL","31104
TWL USJ HEIGHTS SDN. BHD.",BELUM MULA,2025-12-21
"31100-3
RESIDENSI DATARAN SELATAN (AXIS TOWER)","31100
EXSIM LUMBA KUDA SDN. BHD.",BELUM MULA,2025-12-21
"31100-2
RESIDENSI DATARAN SELATAN (BRIXTON TOWER)","31100
EXSIM LUMBA KUDA SDN. BHD.",BELUM MULA,2025-12-21
"31100-1
RESIDENSI DATARAN SELATAN (DOVER TOWER)","31100
EXSIM LUMBA KUDA SDN. BHD.",BELUM MULA,2025-12-21
"31099-1
PERUMAHAN LOT 52900, TAMAN KIJAL MERAGA 2","31099
JUBIMAS SDN. BHD.",BELUM MULA,2025-12-21
"31097-1
MENGLEMBU AVENUE","31097
VIP NATURE SDN. BHD.",LANCAR,2025-12-21
"31095-1
45 LUMI @ TAMBUN","31095
NILAI IMPIAN SDN. BHD.",BELUM MULA,2025-12-21
"31093-1
D'HAZELTON","31093
SUNRICH CONQUEST SDN. BHD.",BELUM MULA,2025-12-21
"31088-1
THE LIGHTHAUZ","31088
EXSIM WATERFRONT SDN. BHD.",BELUM MULA,2025-12-21
"31084-1
LOT9276-THE LUX @ ABADI HEIGHTS","31084
LUX VERITAS (M) SDN. BHD.",BELUM MULA,2025-12-21
"31079-1
TAMAN KELEMAK INDAH","31079
SOON VILLE PROPERTY SDN. BHD.",LANCAR,2025-12-21
"31078-1
VILA BATAI","31078
ARABAYU SEPAKAT SDN. BHD.",BELUM MULA,2025-12-21
"31076-1
RESIDENSI AWANI 6","31076
AQUA LEGACY SDN. BHD.",LANCAR,2025-12-21
"31075-1
SKYAWANI PEARLMONT RESIDENCES","31075
SKYWORLD MUTIARA DEVELOPMENT SDN. BHD.",BELUM MULA,2025-12-21
"31074-1
RESIDENSI MAXIM PELANGI","31074
MAXIM PELANGI SDN. BHD.",LANCAR,2025-12-21
