Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
4818-28,TAMAN VISTA BELIMBING,Rumah Teres,1,0,0,103,208,"180,000.00","288,900.00",100.00,Siap Dengan CCC,27/12/2018,-,2025-12-21,2025-12-21 03:02:15
4818-27,TAMAN MERAK MAS,Rumah Berkembar,1,0,0,0,4,"289,700.00","312,000.00",36.50,Siap Dengan CCC,14/08/2012,-,2025-12-21,2025-12-21 03:02:15
4818-27,TAMAN MERAK MAS,Rumah Berkembar,1,0,0,0,14,"268,000.00","308,200.00",57.50,Siap Dengan CCC,14/08/2012,-,2025-12-21,2025-12-21 03:02:15
4818-26,TAMAN PULAU GADONG JAYA,Rumah Teres,1,0,0,0,48,"125,000.00","173,000.00",95.00,Siap Dengan CCC,27/07/2009,-,2025-12-21,2025-12-21 03:02:15
4818-26,TAMAN PULAU GADONG JAYA,Rumah Berkembar,1,0,0,0,12,"196,000.00","226,000.00",95.00,-,27/07/2009,-,2025-12-21,2025-12-21 03:02:15
4818-25,TAMAN PULAU GADONG JAYA,Rumah Teres,1,0,0,0,53,"128,000.00","183,390.00",100.00,Siap Dengan CCC,27/07/2009,-,2025-12-21,2025-12-21 03:02:15
4818-24,TAMAN DELIMA RAYA,Rumah Berkembar,1,0,0,0,4,"170,900.00","176,000.00",95.00,Siap Dengan CCC,23/09/2008,-,2025-12-21,2025-12-21 03:02:15
4818-24,TAMAN DELIMA RAYA,Rumah Berkembar,1,0,0,0,2,"170,200.00","170,200.00",95.00,-,23/09/2008,-,2025-12-21,2025-12-21 03:02:15
4818-24,TAMAN DELIMA RAYA,Rumah Berkembar,1,0,0,0,8,"169,000.00","185,000.00",95.00,-,23/09/2008,-,2025-12-21,2025-12-21 03:02:15
4818-22,TAMAN MERBOK,Rumah Teres,1,0,0,0,49,"96,400.00","172,000.00",100.00,Siap Dengan CFO,29/08/2006,-,2025-12-21,2025-12-21 03:02:15
4818-20,TAMAN SERI SONGKET,Rumah Teres,2,0,0,0,85,"174,000.00","295,000.00",2.50,Siap Dengan CFO,21/06/2006,-,2025-12-21,2025-12-21 03:02:15
4818-20,TAMAN SERI SONGKET,Rumah Teres,1,0,0,0,14,"107,000.00","173,000.00",90.00,Siap Dengan CFO,21/06/2006,-,2025-12-21,2025-12-21 03:02:15
