Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1204,PT1204,"RM 182,600.00","RM 182,600.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
2,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1230,PT1230,"RM 182,600.00","RM 182,600.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
3,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1305,PT1305,"RM 267,400.00","RM 267,400.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
4,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1167,PT1167,"RM 244,000.00","RM 244,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
5,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1168,PT1168,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
6,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1169,PT1169,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
7,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1170,PT1170,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
8,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1171,PT1171,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
9,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1172,PT1172,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
10,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1173,PT1173,"RM 193,000.00","RM 193,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
11,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1174,PT1174,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
12,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1175,PT1175,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
13,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1176,PT1176,"RM 200,000.00","RM 200,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
14,4818-28 TAMAN VISTA BELIMBING,4818 NKS DEVELOPMENT SDN. BHD.,4818-28/11-2019/0905(P),PT1177,PT1177,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-21,2025-12-21 03:02:15
