Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,12412-11 TAMAN SATU KRUBONG PRESINT DESTAR,12412 PADUWAN REALTY SDN. BHD.,12412-11/03-2026/0354(N)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.318439,102.244354",Melaka Tengah,Melaka,Mula: 29 Mac 2023   Tamat: 28 Mac 2026,2025-12-20,2025-12-20 10:46:36
2,12412-10 TAMAN MOLEK RESIDEN,12412 PADUWAN REALTY SDN. BHD.,12412-10/03-2026/0184(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.228280,102.328160",Melaka Tengah,Melaka,Mula: 02 Mac 2025   Tamat: 01 Mac 2026,2025-12-20,2025-12-20 10:46:36
3,12412-9 TAMAN MOLEK RESIDEN,12412 PADUWAN REALTY SDN. BHD.,12412-9/11-2024/1585(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.228280,102.328160",Melaka Tengah,Melaka,Mula: 30 Nov 2023   Tamat: 29 Nov 2024,2025-12-20,2025-12-20 10:46:36
4,12412-8 TAMAN MOLEK RESIDEN,12412 PADUWAN REALTY SDN. BHD.,12412-8/10-2025/0735(R)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.228277,102.328157",Melaka Tengah,Melaka,Mula: 27 Okt 2024   Tamat: 26 Okt 2025,2025-12-20,2025-12-20 10:46:36
5,12412-7 TAMAN MOLEK RESIDEN,12412 PADUWAN REALTY SDN. BHD.,12412-7/03-2023/0266(A)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.228280,102.328160",Melaka Tengah,Melaka,Mula: 25 Mac 2021   Tamat: 24 Mac 2023,2025-12-20,2025-12-20 10:46:36
6,12412-6 TAMAN SATU KRUBONG,12412 PADUWAN REALTY SDN. BHD.,12412-6/06-2021/02258(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.314988,102.243591",Melaka Tengah,Melaka,Mula: 08 Jun 2020   Tamat: 07 Jun 2021,2025-12-20,2025-12-20 10:46:36
7,"12412-5 TAMAN SATU KRUBONG, MELAKA",12412 PADUWAN REALTY SDN. BHD.,12412-5/07-2021/02533(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.317612,102.249644",Melaka Tengah,Melaka,Mula: 12 Jul 2020   Tamat: 11 Jul 2021,2025-12-20,2025-12-20 10:46:36
8,"12412-4 TAMAN SATU KRUBONG, MELAKA",12412 PADUWAN REALTY SDN. BHD.,12412-4/02-2021/01543(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.314988,102.243591",Melaka Tengah,Melaka,Mula: 09 Feb 2020   Tamat: 08 Feb 2021,2025-12-20,2025-12-20 10:46:36
9,"12412-3 TAMAN SATU KRUBONG, MELAKA.",12412 PADUWAN REALTY SDN. BHD.,12412-3/02-2022/01226(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.314988,102.243591",Melaka Tengah,Melaka,Mula: 10 Feb 2021   Tamat: 09 Feb 2022,2025-12-20,2025-12-20 10:46:36
10,"12412-2 TAMAN SATU KRUBONG, MELAKA",12412 PADUWAN REALTY SDN. BHD.,12412-2/06-2021/02496(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.311982,102.246513",Melaka Tengah,Melaka,Mula: 24 Jun 2020   Tamat: 23 Jun 2021,2025-12-20,2025-12-20 10:46:36
11,12412-1 1 KRUBONG,12412 PADUWAN REALTY SDN. BHD.,12412-1/06-2018/01601(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.180100,102.150300",Melaka Tengah,Melaka,Mula: 15 Jun 2017   Tamat: 14 Jun 2018,2025-12-20,2025-12-20 10:46:36
