Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,1,3,2,125 - 129,26,"318,000.00","434,700.00",0.00,-,-,-,2025-12-28,2025-12-28 05:03:30
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Berkembar,1,3,2,129 - 212,4,"424,000.00","587,000.00",0.00,-,-,-,2025-12-28,2025-12-28 05:03:30
12412-10,TAMAN MOLEK RESIDEN,Rumah Teres,2,"3, 4","2, 3",224 - 241,126,"439,000.00","875,000.00",100.00,Siap Dengan CCC,23/09/2025,23/09/2025,2025-12-28,2025-12-28 05:03:30
12412-9,TAMAN MOLEK RESIDEN,Rumah Teres,2,4,3,224,152,"407,800.00","710,500.00",100.00,Siap Dengan CCC,15/12/2023,15/12/2023,2025-12-28,2025-12-28 05:03:30
12412-8,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,0 - 243,59,"526,800.00","740,500.00",100.00,Siap Dengan CCC,18/10/2024,18/10/2024,2025-12-28,2025-12-28 05:03:30
12412-8,TAMAN MOLEK RESIDEN,Rumah Berkembar,2,"5, 6",4,0,34,"1,600,000.00","1,838,000.00",100.00,Siap Dengan CCC,30/06/2025,30/06/2025,2025-12-28,2025-12-28 05:03:30
12412-8,TAMAN MOLEK RESIDEN,Rumah Teres,2,4,3,0 - 226,107,"489,800.00","678,500.00",100.00,Siap Dengan CCC,18/10/2024,18/10/2024,2025-12-28,2025-12-28 05:03:30
12412-8,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,0 - 243,24,"526,800.00","819,500.00",100.00,Siap Dengan CCC,18/10/2024,18/10/2024,2025-12-28,2025-12-28 05:03:30
12412-8,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,0,72,"531,000.00","673,500.00",100.00,Siap Dengan CCC,18/10/2024,18/10/2024,2025-12-28,2025-12-28 05:03:30
12412-8,TAMAN MOLEK RESIDEN,Rumah Sesebuah,2,"4, 5","4, 6",0,2,"1,896,000.00","2,380,000.00",100.00,Siap Dengan CCC,30/06/2025,-,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Sesebuah,2,0,0,505,1,"1,848,000.00","1,848,000.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Berkembar,2,0,0,388,26,"1,334,000.00","1,700,000.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,243,56,"561,000.00","795,000.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,226 - 243,116,"531,000.00","679,500.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,226 - 243,26,"561,000.00","785,000.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,226,31,"531,000.00","673,500.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-7,TAMAN MOLEK RESIDEN,Rumah Teres,2,0,0,205,52,"480,500.00","639,000.00",100.00,Siap Dengan CCC,06/08/2024,07/08/2024,2025-12-28,2025-12-28 05:03:30
12412-6,TAMAN SATU KRUBONG,Rumah Sesebuah,1,0,0,169,1,"700,896.00","700,896.00",100.00,Siap Dengan CCC,28/09/2020,-,2025-12-28,2025-12-28 05:03:30
12412-6,TAMAN SATU KRUBONG,Rumah Berkembar,1,0,0,150,44,"432,000.00","607,717.00",100.00,Siap Dengan CCC,28/09/2020,-,2025-12-28,2025-12-28 05:03:30
12412-6,TAMAN SATU KRUBONG,Rumah Berkembar,1,0,0,150,44,"432,000.00","559,000.00",100.00,Siap Dengan CCC,28/09/2020,-,2025-12-28,2025-12-28 05:03:30
