Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Lewat,Berfasa,"https://maps.google.com/maps?q=2.136494,102.399716",Jasin,Melaka,Mula: 27 Apr 2023   Tamat: 26 Apr 2025,2025-12-25,2025-12-25 12:14:11
2,20165-11 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-11/04-2027/0322(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.268177,102.399176",Jasin,Melaka,Mula: 24 Apr 2025   Tamat: 23 Apr 2027,2025-12-25,2025-12-25 12:14:11
3,20165-10 BANDAR BOTANI PARKLAND PRESINT 2,20165 PARKLAND AVENUE SDN. BHD.,20165-10/03-2027/0256(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.268300,102.401530",Jasin,Melaka,Mula: 27 Mac 2025   Tamat: 26 Mac 2027,2025-12-25,2025-12-25 12:14:11
4,20165-9 RESIDENSI KOTA SYAHBANDAR,20165 PARKLAND AVENUE SDN. BHD.,20165-9/02-2027/0171(A)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.192300,102.236500",Melaka Tengah,Melaka,Mula: 22 Feb 2024   Tamat: 21 Feb 2027,2025-12-25,2025-12-25 12:14:11
5,20165-8 RESIDENSI KOTA SYAHBANDAR,20165 PARKLAND AVENUE SDN. BHD.,20165-8/01-2027/0102(A)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.192300,102.236500",Melaka Tengah,Melaka,Mula: 01 Feb 2024   Tamat: 31 Jan 2027,2025-12-25,2025-12-25 12:14:11
6,20165-7 BANDAR BOTANI PARKLAND PRESINT 2,20165 PARKLAND AVENUE SDN. BHD.,20165-7/01-2026/0096(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.266659,102.402376",Jasin,Melaka,Mula: 30 Jan 2024   Tamat: 29 Jan 2026,2025-12-25,2025-12-25 12:14:11
7,20165-6 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-6/01-2026/0095(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.266659,102.402376",Jasin,Melaka,Mula: 30 Jan 2024   Tamat: 29 Jan 2026,2025-12-25,2025-12-25 12:14:11
8,20165-5 TAMAN CHIN CHIN EMAS,20165 PARKLAND AVENUE SDN. BHD.,20165-5/11-2026/0832(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.285140,102.458040",Jasin,Melaka,Mula: 23 Nov 2025   Tamat: 22 Nov 2026,2025-12-25,2025-12-25 12:14:11
9,20165-4 BANDAR BOTANI PARKLAND PRESINT 4,20165 PARKLAND AVENUE SDN. BHD.,20165-4/05-2025/0556(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.260986,102.407969",Jasin,Melaka,Mula: 17 Mei 2023   Tamat: 16 Mei 2025,2025-12-25,2025-12-25 12:14:11
10,20165-3 BANDAR BOTANI PARKLAND PRESINT 1,20165 PARKLAND AVENUE SDN. BHD.,20165-3/12-2025/0788(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.255092,102.398640",Jasin,Melaka,Mula: 16 Dis 2024   Tamat: 15 Dis 2025,2025-12-25,2025-12-25 12:14:11
