Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
30299-1,TAMAN TEDONG PANTAI INDAH,Rumah Teres,1,3,2,130,4,"244,000.00","340,000.00",65.00,Lewat,-,-,2025-12-15,2025-12-15 15:54:16
30299-1,TAMAN TEDONG PANTAI INDAH,Rumah Berkembar,1,0,0,350,8,"380,000.00","406,000.00",65.00,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-11,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,4,2,107,58,"435,700.00","553,700.00",15.86,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-11,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,4,2,107,8,"454,100.00","548,300.00",57.50,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-11,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,4,2,98,395,"366,000.00","376,000.00",18.28,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-11,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,4,2,98,41,"376,000.00","376,000.00",57.81,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-10,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Kluster,1,4,2,121,200,"510,100.00","683,000.00",44.60,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-10,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Kluster,1,4,2,121,4,"601,300.00","656,200.00",60.00,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-10,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Kluster,1,4,2,121,2,"630,000.00","807,000.00",60.00,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-10,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Berkembar,1,4,2,123,40,"531,000.00","718,200.00",52.50,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-10,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Sesebuah,1,4,3,157,1,"761,000.00","761,000.00",45.00,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-9,RESIDENSI KOTA SYAHBANDAR,Pangsapuri Servis,40,"2, 3",2,0,474,"570,000.00","738,900.00",22.82,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-8,RESIDENSI KOTA SYAHBANDAR,Pangsapuri Servis,41,"1, 2, 3","1, 2",0,730,"437,000.00","708,400.00",40.75,Lancar,-,-,2025-12-15,2025-12-15 15:54:16
20165-7,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Kluster,1,4,2,121,120,"480,100.00","622,600.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-7,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Kluster,1,4,2,121,8,"517,800.00","776,200.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-7,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Kluster,1,4,2,121,4,"497,900.00","779,200.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-7,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Sesebuah,1,0,0,131,1,"588,000.00","588,000.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-7,BANDAR BOTANI PARKLAND PRESINT 2,Rumah Sesebuah,1,4,3,159,3,"666,500.00","736,900.00",0.00,-,-,-,2025-12-15,2025-12-15 15:54:16
20165-6,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,4,2,107,52,"424,500.00","518,700.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-6,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,"3, 4",2,107,8,"436,900.00","489,900.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-6,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,"3, 4",2,98,335,"360,000.00","363,000.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-6,BANDAR BOTANI PARKLAND PRESINT 3,Rumah Teres,1,4,2,98,48,"363,800.00","363,800.00",100.00,Siap Dengan CCC,03/11/2025,03/11/2025,2025-12-15,2025-12-15 15:54:16
20165-5,TAMAN CHIN CHIN EMAS,Rumah Teres,1,"3, 4","2, 3",94 - 95,96,"275,000.00","518,000.00",100.00,Siap Dengan CCC,26/11/2025,26/11/2025,2025-12-15,2025-12-15 15:54:16
20165-5,TAMAN CHIN CHIN EMAS,Rumah Teres,1,"3, 4",2,75 - 76,5,"180,100.00","240,200.00",100.00,Siap Dengan CCC,26/11/2025,26/11/2025,2025-12-15,2025-12-15 15:54:16
20165-5,TAMAN CHIN CHIN EMAS,Rumah Teres,1,3,2,75 - 76,70,"180,100.00","273,000.00",100.00,Siap Dengan CCC,26/11/2025,26/11/2025,2025-12-15,2025-12-15 15:54:16
20165-5,TAMAN CHIN CHIN EMAS,Rumah Teres,1,3,2,74 - 75,47,"120,300.00","185,800.00",100.00,Siap Dengan CCC,26/11/2025,26/11/2025,2025-12-15,2025-12-15 15:54:16
20165-5,TAMAN CHIN CHIN EMAS,Rumah Teres,1,3,2,59,12,"80,900.00","95,200.00",100.00,Siap Dengan CCC,26/11/2025,26/11/2025,2025-12-15,2025-12-15 15:54:16
20165-4,BANDAR BOTANI PARKLAND PRESINT 4,Rumah Teres,1,3,"2, 3",80,171,"180,000.00","236,100.00",100.00,Siap Dengan CCC,30/12/2024,30/12/2024,2025-12-15,2025-12-15 15:54:16
20165-4,BANDAR BOTANI PARKLAND PRESINT 4,Rumah Teres,1,3,2,74,211,"120,000.00","259,000.00",100.00,Siap Dengan CCC,30/12/2024,30/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Berkembar,2,0,0,227,24,"658,000.00","945,100.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Kluster,1,0,0,121,4,"398,000.00","535,900.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Teres,1,4,2,107,2,"365,000.00","400,600.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Teres,1,0,0,98,14,"300,000.00","300,000.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Teres,2,4,3,180 - 180,229,"458,000.00","458,000.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Teres,2,4,3,196,34,"511,860.00","548,720.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Kluster,2,0,0,215,1,"722,475.00","722,475.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Kluster,2,4,3,215,114,"598,000.00","668,800.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Sesebuah,2,6,5,308,1,"1,280,000.00","1,280,000.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Sesebuah,2,0,0,239,1,"1,100,000.00","1,100,000.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-3,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Sesebuah,2,0,0,404,2,"1,160,000.00","1,200,000.00",100.00,Siap Dengan CCC,11/12/2024,11/12/2024,2025-12-15,2025-12-15 15:54:16
20165-2,BANDAR BOTANI PARKLAND PRESINT 4,Rumah Teres,1,3,2,84,218,"180,000.00","238,300.00",100.00,Siap Dengan CCC,08/02/2024,08/02/2024,2025-12-15,2025-12-15 15:54:16
20165-2,BANDAR BOTANI PARKLAND PRESINT 4,Rumah Teres,1,3,2,74,175,"104,300.00","193,000.00",100.00,Siap Dengan CCC,08/02/2024,08/02/2024,2025-12-15,2025-12-15 15:54:16
20165-2,BANDAR BOTANI PARKLAND PRESINT 4,Rumah Sesebuah,1,3,2,108,1,"419,000.00","419,000.00",100.00,Siap Dengan CCC,08/02/2024,08/02/2024,2025-12-15,2025-12-15 15:54:16
20165-1,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Berkembar,1,4,2,123,14,"418,000.00","510,000.00",100.00,Siap Dengan CCC,03/11/2023,03/11/2023,2025-12-15,2025-12-15 15:54:16
20165-1,BANDAR BOTANI PARKLAND PRESINT 1,Rumah Kluster,1,4,2,121,80,"353,000.00","453,000.00",100.00,Siap Dengan CCC,03/11/2023,08/11/2023,2025-12-15,2025-12-15 15:54:16
