Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM41,PT756,"RM 340,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
2,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM40,PT755,"RM 244,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
3,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM39,PT754,"RM 244,000.00","RM 244,000.00",Telah Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
4,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM38,PT753,"RM 257,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
5,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM37,PT752,"RM 406,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
6,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM36,PT751,"RM 401,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
7,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM35,PT750,"RM 400,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
8,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM34,PT749,"RM 400,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
9,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM33,PT748,"RM 397,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
10,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM32,PT747,"RM 393,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
11,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM31,PT746,"RM 380,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
12,30299-1 TAMAN TEDONG PANTAI INDAH,30299 PARKLAND VIEW DEVELOPMENT SDN. BHD.,30299-1/04-2025/0492(N)-(L),HMM30,PT745,"RM 395,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
13,20165-11 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-11/04-2027/0322(A)-(L),H.S.(D) 18774,PT 7678 (PT 14354),"RM 453,000.00","RM 453,000.00",Telah Dijual,Tidak,2025-12-15,2025-12-15 15:54:16
14,20165-11 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-11/04-2027/0322(A)-(L),H.S.(D) 18774,PT 7678 (PT 14429),"RM 490,200.00","RM 441,180.00",Telah Dijual,Ya,2025-12-15,2025-12-15 15:54:16
15,20165-11 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-11/04-2027/0322(A)-(L),H.S.(D) 18774,PT 7678 (PT 14446),"RM 437,800.00","RM 394,020.00",Telah Dijual,Ya,2025-12-15,2025-12-15 15:54:16
16,20165-11 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-11/04-2027/0322(A)-(L),H.S.(D) 18774,PT 7678 (PT 14462),"RM 490,200.00","RM 441,180.00",Telah Dijual,Ya,2025-12-15,2025-12-15 15:54:16
17,20165-11 BANDAR BOTANI PARKLAND PRESINT 3,20165 PARKLAND AVENUE SDN. BHD.,20165-11/04-2027/0322(A)-(L),H.S.(D) 18774,PT 7678 (PT 14510),"RM 453,000.00","RM 407,700.00",Telah Dijual,Ya,2025-12-15,2025-12-15 15:54:16
