Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 27 Mac 2024   Tamat: 26 Mac 2027,2025-12-28,2025-12-28 05:03:30
2,8187-16 TAMAN KRUBONG HEIGHTS PRESINT PELANGI 3,8187 PB REALTY SDN. BHD.,8187-16/01-2027/0039(N)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 12 Jan 2024   Tamat: 11 Jan 2027,2025-12-28,2025-12-28 05:03:30
3,8187-15 TAMAN KRUBONG HEIGHTS,8187 PB REALTY SDN. BHD.,8187-15/10-2026/0738(R)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 27 Okt 2025   Tamat: 26 Okt 2026,2025-12-28,2025-12-28 05:03:30
4,8187-14 TAMAN KRUBONG HEIGHTS,8187 PB REALTY SDN. BHD.,8187-14/08-2025/0916(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 15 Ogo 2023   Tamat: 14 Ogo 2025,2025-12-28,2025-12-28 05:03:30
5,8187-13 TAMAN KRUBONG HEIGHTS,8187 PB REALTY SDN. BHD.,8187-13/12-2024/1645(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 23 Dis 2023   Tamat: 22 Dis 2024,2025-12-28,2025-12-28 05:03:30
6,8187-12 TAMAN KRUBONG HEIGHTS,8187 PB REALTY SDN. BHD.,8187-12/02-2025/0081(R)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 25 Feb 2024   Tamat: 24 Feb 2025,2025-12-28,2025-12-28 05:03:30
7,8187-11 TAMAN KRUBONG HEIGHTS,8187 PB REALTY SDN. BHD.,8187-11/07-2023/0367(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 22 Jul 2022   Tamat: 21 Jul 2023,2025-12-28,2025-12-28 05:03:30
8,8187-10 TAMAN KRUBONG HEIGHTS,8187 PB REALTY SDN. BHD.,8187-10/10-2023/0380(R)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331139,102.241028",Melaka Tengah,Melaka,Mula: 11 Okt 2022   Tamat: 10 Okt 2023,2025-12-28,2025-12-28 05:03:30
9,8187-9 TAMAN PAYA RUMPUT INDAH,8187 PB REALTY SDN. BHD.,8187-9/05-2019/0385(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.301987,102.219346",Melaka Tengah,Melaka,Mula: 31 Mei 2017   Tamat: 30 Mei 2019,2025-12-28,2025-12-28 05:03:30
10,8187-8 PB REALTY SDN. BHD.,8187 PB REALTY SDN. BHD.,8187-8/03-2021/01790(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.203786,102.239580",Melaka Tengah,Melaka,Mula: 22 Mac 2020   Tamat: 21 Mac 2021,2025-12-28,2025-12-28 05:03:30
11,8187-6 TAMAN KRUBONG JAYA,8187 PB REALTY SDN. BHD.,8187-6/817/2012(05),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 14 Mei 2011   Tamat: 13 Mei 2012,2025-12-28,2025-12-28 05:03:30
12,8187-5 TAMAN KRUBONG JAYA,8187 PB REALTY SDN. BHD.,8187-5/2672/2012(12),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 14 Dis 2011   Tamat: 13 Dis 2012,2025-12-28,2025-12-28 05:03:30
13,8187-4 TAMAN KRUBONG JAYA,8187 PB REALTY SDN. BHD.,8187-4/2563/2010(11),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 15 Jan 2010   Tamat: 28 Nov 2010,2025-12-28,2025-12-28 05:03:30
14,8187-3 TAMAN SUNGAI RAMBAI INDAH,8187 PB REALTY SDN. BHD.,8187-3/346/2011(08),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 22 Feb 2011   Tamat: 21 Ogo 2011,2025-12-28,2025-12-28 05:03:30
