Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,4,3,0,82,"645,000.00","805,000.00",6.71,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
8187-16,TAMAN KRUBONG HEIGHTS PRESINT PELANGI 3,Rumah Berkembar,2,4,"3, 4",0,44,"972,800.00","1,131,800.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
8187-16,TAMAN KRUBONG HEIGHTS PRESINT PELANGI 3,Rumah Berkembar,2,"4, 5",4,0,10,"1,098,675.00","1,196,800.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
8187-16,TAMAN KRUBONG HEIGHTS PRESINT PELANGI 3,Rumah Teres,2,4,3,0,17,"590,000.00","720,000.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
8187-16,TAMAN KRUBONG HEIGHTS PRESINT PELANGI 3,Rumah Teres,2,4,3,0,41,"645,000.00","805,000.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
8187-15,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,"3, 4","2, 3, 4",180,92,"502,000.00","655,000.00",97.50,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
8187-14,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,4,3,180,69,"412,500.00","555,000.00",100.00,Siap Dengan CCC,08/11/2024,08/11/2024,2025-12-25,2025-12-25 12:14:11
8187-13,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,4,3,180,77,"412,500.00","555,000.00",100.00,Siap Dengan CCC,22/03/2024,22/03/2024,2025-12-25,2025-12-25 12:14:11
8187-12,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,0,0,0 - 194,31,"469,800.00","732,600.00",100.00,Siap Dengan CCC,19/08/2024,19/08/2024,2025-12-25,2025-12-25 12:14:11
8187-12,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,0,0,0 - 194,28,"485,800.00","776,500.00",100.00,Siap Dengan CCC,19/08/2024,19/08/2024,2025-12-25,2025-12-25 12:14:11
8187-12,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,0,0,0 - 194,56,"495,800.00","830,000.00",100.00,Siap Dengan CCC,19/08/2024,19/08/2024,2025-12-25,2025-12-25 12:14:11
8187-12,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,0,0,0,84,"645,000.00","830,000.00",100.00,Siap Dengan CCC,19/08/2024,19/08/2024,2025-12-25,2025-12-25 12:14:11
8187-11,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,4,3,180,76,"247,800.00","615,000.00",100.00,Siap Dengan CCC,07/06/2023,08/06/2023,2025-12-25,2025-12-25 12:14:11
8187-10,TAMAN KRUBONG HEIGHTS,Rumah Teres,2,0,0,0 - 194,260,"459,800.00","747,500.00",100.00,Siap Dengan CCC,30/05/2023,31/05/2023,2025-12-25,2025-12-25 12:14:11
8187-9,TAMAN PAYA RUMPUT INDAH,Rumah Teres,1,0,0,74,125,"150,000.00","233,310.00",100.00,Siap Dengan CCC,30/07/2018,-,2025-12-25,2025-12-25 12:14:11
8187-8,PB REALTY SDN. BHD.,Pangsapuri Servis,24,0,0,106,288,"448,902.00","648,544.00",100.00,Siap Dengan CCC,06/05/2020,-,2025-12-25,2025-12-25 12:14:11
8187-6,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,250,"170,000.00","288,760.00",100.00,Siap Dengan CCC,07/02/2013,-,2025-12-25,2025-12-25 12:14:11
8187-6,TAMAN KRUBONG JAYA,Rumah Berkembar,1,0,0,0,18,"240,000.00","400,000.00",100.00,Siap Dengan CCC,05/09/2012,-,2025-12-25,2025-12-25 12:14:11
8187-6,TAMAN KRUBONG JAYA,Rumah Kluster,1,0,0,0,72,"230,000.00","382,344.60",100.00,Siap Dengan CCC,05/09/2012,-,2025-12-25,2025-12-25 12:14:11
8187-6,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,25,"185,000.00","306,656.80",100.00,Siap Dengan CCC,05/09/2012,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,40,"167,583.30","314,105.00",100.00,Siap Dengan CCC,08/07/2011,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,78,"165,000.00","366,095.00",100.00,Siap Dengan CCC,15/03/2013,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,69,"145,000.00","291,521.10",100.00,Siap Dengan CCC,22/12/2010,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,2,0,0,0,55,"198,000.00","360,853.30",100.00,Siap Dengan CCC,06/06/2012,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,46,"155,000.00","301,110.00",100.00,Siap Dengan CCC,08/07/2011,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,2,0,0,0,65,"230,000.00","398,459.10",100.00,Siap Dengan CCC,22/12/2010,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,134,"155,000.00","330,584.50",100.00,Siap Dengan CCC,22/12/2010,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,2,0,0,0,46,"230,000.00","399,110.00",100.00,Siap Dengan CCC,04/12/2013,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Berkembar,1,0,0,0,12,"280,000.00","443,615.30",100.00,Siap Dengan CCC,22/12/2010,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,2,0,0,0,47,"230,000.00","383,303.00",100.00,Siap Dengan CCC,04/12/2013,-,2025-12-25,2025-12-25 12:14:11
8187-5,TAMAN KRUBONG JAYA,Rumah Teres,2,0,0,0,105,"198,000.00","342,896.00",100.00,Siap Dengan CCC,18/04/2012,-,2025-12-25,2025-12-25 12:14:11
8187-4,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,48,"125,000.01","242,674.01",2.50,Siap Dengan CCC,03/08/2011,-,2025-12-25,2025-12-25 12:14:11
8187-4,TAMAN KRUBONG JAYA,Rumah Teres,1,0,0,0,286,"125,000.00","242,674.00",2.50,Siap Dengan CCC,07/10/2009,-,2025-12-25,2025-12-25 12:14:11
