Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.259120,102.302720",Melaka Tengah,Melaka,Mula: 26 Ogo 2024   Tamat: 25 Ogo 2026,2025-12-25,2025-12-25 12:14:11
2,14392-2 TAMAN OZANA RESIDENCE,14392 PDG DEVELOPMENT SDN. BHD.,14392-2/06-2020/0522(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.252648,102.300394",Melaka Tengah,Melaka,Mula: 09 Jun 2018   Tamat: 08 Jun 2020,2025-12-25,2025-12-25 12:14:11
3,14392-1 THE OZANA RESIDENCES,14392 PDG DEVELOPMENT SDN. BHD.,14392-1/06-2020/02171(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.255135,102.301145",Melaka Tengah,Melaka,Mula: 21 Jun 2019   Tamat: 20 Jun 2020,2025-12-25,2025-12-25 12:14:11
4,9849-18 TAMAN SERI PANDAN,9849 PDG PROPERTY SDN. BHD.,9849-18/11-2027/0921(N)-(L),Belum Mula,Berfasa,,Melaka Tengah,Melaka,Mula: 04 Nov 2025   Tamat: 03 Nov 2027,2025-12-25,2025-12-25 12:14:11
5,9849-17 TAMAN BUKIT KATIL INDAH,9849 PDG PROPERTY SDN. BHD.,9849-17/05-2027/0409(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.219647,102.291431",Melaka Tengah,Melaka,Mula: 27 Mei 2025   Tamat: 26 Mei 2027,2025-12-25,2025-12-25 12:14:11
6,9849-16 TAMAN PANDAN INDAH,9849 PDG PROPERTY SDN. BHD.,9849-16/03-2027/0212(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.207790,102.225370",Melaka Tengah,Melaka,Mula: 17 Mac 2025   Tamat: 16 Mac 2027,2025-12-25,2025-12-25 12:14:11
7,9849-15 TAMAN CAMAR INDAH,9849 PDG PROPERTY SDN. BHD.,9849-15/01-2027/0071(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.215030,102.293701",Melaka Tengah,Melaka,Mula: 24 Jan 2025   Tamat: 23 Jan 2027,2025-12-25,2025-12-25 12:14:11
8,9849-14 TAMAN PANDAN INDAH (471),9849 PDG PROPERTY SDN. BHD.,9849-14/12-2026/1148(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.208148,102.225221",Melaka Tengah,Melaka,Mula: 17 Dis 2024   Tamat: 16 Dis 2026,2025-12-25,2025-12-25 12:14:11
9,9849-13 TAMAN BUKIT KATIL PERMAI,9849 PDG PROPERTY SDN. BHD.,9849-13/07-2026/0682(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.212150,102.302512",Melaka Tengah,Melaka,Mula: 29 Jul 2024   Tamat: 28 Jul 2026,2025-12-25,2025-12-25 12:14:11
10,9849-12 TAMAN SERI MANGGA,9849 PDG PROPERTY SDN. BHD.,9849-12/10-2024/0225(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.230577,102.217245",Melaka Tengah,Melaka,Mula: 07 Okt 2022   Tamat: 06 Okt 2024,2025-12-25,2025-12-25 12:14:11
11,9849-11 TAMAN CAMAR INDAH,9849 PDG PROPERTY SDN. BHD.,9849-11/11-2023/0195(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.214871,102.293488",Melaka Tengah,Melaka,Mula: 16 Nov 2021   Tamat: 15 Nov 2023,2025-12-25,2025-12-25 12:14:11
12,9849-10 TAMAN PERTAM JAYA,9849 PDG PROPERTY SDN. BHD.,9849-10/07-2020/02452(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.192551,102.278721",Melaka Tengah,Melaka,Mula: 20 Jul 2019   Tamat: 19 Jul 2020,2025-12-25,2025-12-25 12:14:11
13,9849-8 TAMAN PANDAN JAYA,9849 PDG PROPERTY SDN. BHD.,9849-8/07-2018/0518(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.225186,102.227920",Melaka Tengah,Melaka,Mula: 16 Jul 2016   Tamat: 15 Jul 2018,2025-12-25,2025-12-25 12:14:11
14,9849-7 TAMAN BUKIT KATIL INDAH,9849 PDG PROPERTY SDN. BHD.,9849-7/10-2017/02840(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.218945,102.291693",Melaka Tengah,Melaka,Mula: 31 Okt 2016   Tamat: 30 Okt 2017,2025-12-25,2025-12-25 12:14:11
15,9849-6 TAMAN SAUJANA INDAH,9849 PDG PROPERTY SDN. BHD.,9849-6/01-2015/01135(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 05 Jan 2014   Tamat: 04 Jan 2015,2025-12-25,2025-12-25 12:14:11
16,9849-5 TAMAN SAUJANA INDAH,9849 PDG PROPERTY SDN. BHD.,9849-5/01-2015/01105(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 04 Jan 2014   Tamat: 03 Jan 2015,2025-12-25,2025-12-25 12:14:11
17,9849-4 TAMAN SAUJANA INDAH,9849 PDG PROPERTY SDN. BHD.,9849-4/2502/2012(11),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 24 Nov 2011   Tamat: 23 Nov 2012,2025-12-25,2025-12-25 12:14:11
18,9849-3 TAMAN BUKIT KATIL PERMAI,9849 PDG PROPERTY SDN. BHD.,9849-3/1764/2011(09),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 07 Sep 2010   Tamat: 06 Sep 2011,2025-12-25,2025-12-25 12:14:11
19,9849-2 TAMAN MUHIBBAH,9849 PDG PROPERTY SDN. BHD.,9849-2/2522/2008(11),Siap Dengan CFO,Berfasa,,Jasin,Melaka,Mula: 30 Nov 2007   Tamat: 29 Nov 2008,2025-12-25,2025-12-25 12:14:11
20,9849-1 TAMAN BUKIT BERUANG BESTARI,9849 PDG PROPERTY SDN. BHD.,9849-1/10/2008(01),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 04 Jan 2007   Tamat: 03 Jan 2008,2025-12-25,2025-12-25 12:14:11
