Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,4,4,213,36,"700,200.00","809,520.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,4,4,224,19,"740,200.00","919,080.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,4,4,224,19,"740,200.00","919,080.00",80.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,4,4,213,40,"700,200.00","792,720.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
14392-2,TAMAN OZANA RESIDENCE,Rumah Teres,2,0,0,221,78,"677,398.00","946,100.00",100.00,Siap Dengan CCC,27/05/2020,-,2025-12-25,2025-12-25 12:14:11
14392-2,TAMAN OZANA RESIDENCE,Rumah Teres,2,0,0,221,37,"696,000.00","937,500.00",100.00,Siap Dengan CCC,27/05/2020,-,2025-12-25,2025-12-25 12:14:11
14392-2,TAMAN OZANA RESIDENCE,Rumah Berkembar,1,0,0,168,52,"709,000.00","1,065,000.00",100.00,Siap Dengan CCC,27/05/2020,-,2025-12-25,2025-12-25 12:14:11
14392-2,TAMAN OZANA RESIDENCE,Rumah Berkembar,1,0,0,217,18,"853,000.00","1,089,000.00",100.00,Siap Dengan CCC,27/05/2020,-,2025-12-25,2025-12-25 12:14:11
14392-2,TAMAN OZANA RESIDENCE,Rumah Berkembar,2,0,0,316,2,"723,000.00","1,174,000.00",100.00,Siap Dengan CCC,27/05/2020,-,2025-12-25,2025-12-25 12:14:11
14392-2,TAMAN OZANA RESIDENCE,Rumah Sesebuah,2,0,0,0,1,"1,652,000.00","1,652,000.00",100.00,Siap Dengan CCC,02/08/2019,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Teres,2.5,0,0,257,68,"698,000.00","953,450.00",100.00,Siap Dengan CCC,05/09/2018,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Berkembar,2,0,0,267,44,"723,000.00","1,192,400.00",100.00,Siap Dengan CCC,05/09/2018,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Teres,2.5,0,0,257,53,"698,000.00","945,900.00",100.00,Siap Dengan CCC,05/09/2018,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Berkembar,2,0,0,267,20,"703,000.00","1,191,850.00",100.00,Siap Dengan CCC,05/09/2018,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Berkembar,2,0,0,267,20,"723,000.00","1,290,350.00",100.00,Siap Dengan CCC,05/09/2018,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Teres,2.5,0,0,257,80,"698,000.00","882,950.00",100.00,Siap Dengan CCC,02/08/2019,-,2025-12-25,2025-12-25 12:14:11
14392-1,THE OZANA RESIDENCES,Rumah Berkembar,2,0,0,267,18,"723,000.00","1,282,300.00",100.00,Siap Dengan CCC,02/08/2019,-,2025-12-25,2025-12-25 12:14:11
9849-18,TAMAN SERI PANDAN,Rumah Berkembar,1,4,2,160,4,"586,000.00","676,700.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
9849-18,TAMAN SERI PANDAN,Rumah Berkembar,1,4,2,160,2,"576,700.00","591,400.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
9849-18,TAMAN SERI PANDAN,Rumah Berkembar,1,4,2,160,6,"562,800.00","708,700.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
9849-18,TAMAN SERI PANDAN,Rumah Berkembar,1,4,2,160,14,"551,500.00","666,700.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
9849-18,TAMAN SERI PANDAN,Rumah Sesebuah,1,4,3,173 - 174,2,"820,700.00","904,900.00",0.00,-,-,-,2025-12-25,2025-12-25 12:14:11
9849-17,TAMAN BUKIT KATIL INDAH,Rumah Berkembar,1,4,2,168,2,"690,000.00","730,500.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-17,TAMAN BUKIT KATIL INDAH,Rumah Berkembar,1,4,2,167,6,"578,000.00","653,700.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-16,TAMAN PANDAN INDAH,Rumah Kluster,1,4,2,147,8,"490,700.00","534,300.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-16,TAMAN PANDAN INDAH,Rumah Berkembar,1,4,2,160,2,"547,000.00","645,900.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-16,TAMAN PANDAN INDAH,Rumah Sesebuah,1,4,3,167,1,"661,000.00","661,000.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-16,TAMAN PANDAN INDAH,Rumah Sesebuah,1,4,3,171,1,"642,000.00","642,000.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-15,TAMAN CAMAR INDAH,Rumah Teres,1,4,2,128,28,"435,000.00","659,100.00",69.64,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-14,TAMAN PANDAN INDAH (471),Rumah Berkembar,1,4,2,157,4,"551,500.00","685,500.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-14,TAMAN PANDAN INDAH (471),Rumah Kluster,1,4,2,147,4,"490,700.00","579,500.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-14,TAMAN PANDAN INDAH (471),Rumah Sesebuah,1,4,3,164,1,"666,000.00","666,000.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-14,TAMAN PANDAN INDAH (471),Rumah Sesebuah,1,4,3,170,1,"752,000.00","752,000.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-14,TAMAN PANDAN INDAH (471),Rumah Sesebuah,1,4,3,171,1,"642,000.00","642,000.00",70.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-13,TAMAN BUKIT KATIL PERMAI,Rumah Berkembar,1,4,2,139,12,"480,000.00","620,000.00",87.50,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-13,TAMAN BUKIT KATIL PERMAI,Rumah Sesebuah,1,0,0,148,1,"515,000.00","515,000.00",87.50,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
9849-12,TAMAN SERI MANGGA,Rumah Teres,1,4,2,115,14,"371,000.00","400,000.00",100.00,Siap Dengan CCC,21/10/2024,21/10/2024,2025-12-25,2025-12-25 12:14:11
9849-12,TAMAN SERI MANGGA,Rumah Berkembar,1,0,0,148,2,"496,000.00","541,000.00",100.00,Siap Dengan CCC,21/10/2024,21/10/2024,2025-12-25,2025-12-25 12:14:11
9849-12,TAMAN SERI MANGGA,Rumah Sesebuah,1,0,0,158,1,"585,000.00","585,000.00",100.00,Siap Dengan CCC,21/10/2024,21/10/2024,2025-12-25,2025-12-25 12:14:11
9849-11,TAMAN CAMAR INDAH,Rumah Berkembar,1,4,"2, 3","178 - 1,500",20,"399,000.00","573,000.00",100.00,Siap Dengan CCC,12/12/2023,12/12/2023,2025-12-25,2025-12-25 12:14:11
9849-11,TAMAN CAMAR INDAH,Rumah Berkembar,1,4,2,"191 - 1,740",8,"449,000.00","571,000.00",100.00,Siap Dengan CCC,12/12/2023,12/12/2023,2025-12-25,2025-12-25 12:14:11
9849-10,TAMAN PERTAM JAYA,Rumah Berkembar,1,0,0,108,8,"408,000.00","448,921.00",100.00,Siap Dengan CCC,25/04/2019,-,2025-12-25,2025-12-25 12:14:11
9849-10,TAMAN PERTAM JAYA,Rumah Sesebuah,1,0,0,0,1,"503,138.00","503,138.00",100.00,Siap Dengan CCC,25/04/2019,-,2025-12-25,2025-12-25 12:14:11
