Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L67,"RM 565,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
2,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L68,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
3,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L69,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
4,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L70,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
5,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L71,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L72,"RM 505,000.00","RM 505,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
7,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L73,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
8,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L74,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
9,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L75,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
10,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L76,"RM 573,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
11,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L77,"RM 647,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
12,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L78,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
13,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L79,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
14,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L80,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
15,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L81,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
16,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L82,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
17,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L83,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
18,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L84,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
19,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L85,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
20,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L86,"RM 560,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
21,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L87,"RM 560,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
22,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L88,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
23,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L89,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
24,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L90,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
25,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L91,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
26,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L92,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
27,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L93,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
28,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L94,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
29,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L95,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
30,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L96,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
31,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L97,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
32,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L98,"RM 591,000.00","RM 591,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
33,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L99,"RM 668,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
34,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L100,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
35,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L101,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
36,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L102,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
37,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L103,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
38,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L104,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
39,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L105,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
40,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L106,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
41,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L107,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
42,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L108,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
43,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L109,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
44,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L110,"RM 560,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
45,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L111,"RM 560,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
46,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L112,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
47,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L113,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
48,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L114,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
49,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L115,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
50,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L116,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
51,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L117,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
52,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L118,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
53,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L119,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
54,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L120,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
55,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L121,"RM 505,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
56,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L122,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
57,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L123,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
58,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L124,"RM 500,000.00","RM 488,000.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
59,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L125,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
60,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L126,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
61,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L127,"RM 500,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
62,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),-,L128,"RM 560,000.00",-,Belum Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
