Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Belum Mula,Berfasa,,-,Melaka,Mula: 11 Nov 2025   Tamat: 10 Nov 2027,2025-12-28,2025-12-28 05:03:30
2,6575-51 BANDAR SCIENTEX JASIN PRESINT 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-51/07-2027/0544(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.206791,102.402995",Jasin,Melaka,Mula: 08 Jul 2025   Tamat: 07 Jul 2027,2025-12-28,2025-12-28 05:03:30
3,6575-50 TAMAN SCIENTEX JASIN MUTIARA,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-50/04-2027/0328(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.272529,102.401361",Jasin,Melaka,Mula: 29 Apr 2025   Tamat: 28 Apr 2027,2025-12-28,2025-12-28 05:03:30
4,6575-49 BANDAR SCIENTEX JASIN PRESINT 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-49/03-2027/0257(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.212082,102.406793",Jasin,Melaka,Mula: 27 Mac 2025   Tamat: 26 Mac 2027,2025-12-28,2025-12-28 05:03:30
5,6575-48 BANDAR SCIENTEX JASIN PRESINT 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-48/01-2027/0037(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.207839,102.403442",Jasin,Melaka,Mula: 13 Jan 2025   Tamat: 12 Jan 2027,2025-12-28,2025-12-28 05:03:30
6,6575-47 BANDAR SCIENTEX JASIN PRESINT 1,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-47/08-2026/0710(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.207349,102.402715",Jasin,Melaka,Mula: 08 Ogo 2024   Tamat: 07 Ogo 2026,2025-12-28,2025-12-28 05:03:30
7,6575-46 BANDAR SCIENTEX JASIN PRESINT 1,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-46/06-2026/0566(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.206531,102.402523",Jasin,Melaka,Mula: 25 Jun 2024   Tamat: 24 Jun 2026,2025-12-28,2025-12-28 05:03:30
8,6575-45 TAMAN SCIENTEX JASIN MUTIARA,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-45/06-2026/0493(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.267302,102.395342",Jasin,Melaka,Mula: 07 Jun 2024   Tamat: 06 Jun 2026,2025-12-28,2025-12-28 05:03:30
9,6575-44 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-44/05-2026/0399(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.213769,102.406762",Jasin,Melaka,Mula: 12 Mei 2024   Tamat: 11 Mei 2026,2025-12-28,2025-12-28 05:03:30
10,6575-43 TAMAN SCIENTEX JASIN MUTIARA,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-43/05-2026/0362(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.271543,102.399769",Jasin,Melaka,Mula: 03 Mei 2024   Tamat: 02 Mei 2026,2025-12-28,2025-12-28 05:03:30
11,6575-42 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-42/02-2026/0176(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.311300,102.430900",Jasin,Melaka,Mula: 23 Feb 2024   Tamat: 22 Feb 2026,2025-12-28,2025-12-28 05:03:30
12,6575-41 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-41/11-2025/1238(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.146247,102.528932",Jasin,Melaka,Mula: 10 Nov 2023   Tamat: 09 Nov 2025,2025-12-28,2025-12-28 05:03:30
13,6575-40 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-40/10-2025/1123(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.222457,102.395379",Jasin,Melaka,Mula: 10 Okt 2023   Tamat: 09 Okt 2025,2025-12-28,2025-12-28 05:03:30
14,6575-39 TAMAN SCIENTEX JASIN MUTIARA,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-39/07-2025/0787(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.281151,102.384843",Jasin,Melaka,Mula: 07 Jul 2023   Tamat: 06 Jul 2025,2025-12-28,2025-12-28 05:03:30
15,6575-38 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-38/03-2025/0303(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.356701,102.294600",Alor Gajah,Melaka,Mula: 22 Mac 2023   Tamat: 21 Mac 2025,2025-12-28,2025-12-28 05:03:30
16,6575-37 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-37/02-2025/0204(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.146247,102.528932",Jasin,Melaka,Mula: 28 Feb 2023   Tamat: 27 Feb 2025,2025-12-28,2025-12-28 05:03:30
17,6575-36 SCIENTEX JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-36/01-2025/0098(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.281151,102.384843",Jasin,Melaka,Mula: 01 Feb 2023   Tamat: 31 Jan 2025,2025-12-28,2025-12-28 05:03:30
18,6575-35 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-35/01-2025/0033(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.125000,102.240400",Jasin,Melaka,Mula: 09 Jan 2023   Tamat: 08 Jan 2025,2025-12-28,2025-12-28 05:03:30
19,6575-34 SCIENTEX JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-34/12-2024/0383(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.252064,102.364316",Jasin,Melaka,Mula: 06 Dis 2022   Tamat: 05 Dis 2024,2025-12-28,2025-12-28 05:03:30
20,6575-33 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-33/11-2024/0346(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.267717,102.382536",Jasin,Melaka,Mula: 21 Nov 2022   Tamat: 20 Nov 2024,2025-12-28,2025-12-28 05:03:30
21,6575-32 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-32/10-2024/0280(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.315852,102.298377",Alor Gajah,Melaka,Mula: 01 Nov 2022   Tamat: 31 Okt 2024,2025-12-28,2025-12-28 05:03:30
22,6575-31 SCIENTEX JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-31/09-2024/0180(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.162180,102.235570",Jasin,Melaka,Mula: 15 Sep 2022   Tamat: 14 Sep 2024,2025-12-28,2025-12-28 05:03:30
23,6575-30 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-30/07-2024/0096(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.125000,102.240400",Jasin,Melaka,Mula: 26 Jul 2022   Tamat: 25 Jul 2024,2025-12-28,2025-12-28 05:03:30
24,6575-29 SCIENTEX JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-29/03-2024/0173(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.318473,102.421679",Jasin,Melaka,Mula: 03 Mac 2022   Tamat: 02 Mac 2024,2025-12-28,2025-12-28 05:03:30
25,6575-28 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-28/02-2024/0343(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.146247,102.528932",Jasin,Melaka,Mula: 28 Feb 2022   Tamat: 27 Feb 2024,2025-12-28,2025-12-28 05:03:30
26,6575-27 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-27/02-2024/0146(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.325800,102.294600",Alor Gajah,Melaka,Mula: 24 Feb 2022   Tamat: 23 Feb 2024,2025-12-28,2025-12-28 05:03:30
27,6575-26 SCIENTEX BANDAR JASIN,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-26/12-2023/0112(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.151417,102.417898",Jasin,Melaka,Mula: 30 Dis 2021   Tamat: 29 Dis 2023,2025-12-28,2025-12-28 05:03:30
