Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,3,2,107,343,"180,000.00","286,200.00",0.00,-,-,-,2025-12-28,2025-12-28 05:03:30
6575-51,BANDAR SCIENTEX JASIN PRESINT 2,Rumah Teres,2,3,2,84,232,"125,000.00","169,000.00",15.60,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-50,TAMAN SCIENTEX JASIN MUTIARA,Rumah Teres,2,3,2,84,206,"134,400.00","255,000.00",29.35,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-49,BANDAR SCIENTEX JASIN PRESINT 2,Rumah Teres,2,"3, 4","2, 3",124,333,"292,300.00","433,400.00",27.04,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-48,BANDAR SCIENTEX JASIN PRESINT 2,Rumah Teres,2,3,2,107,234,"180,000.00","279,100.00",34.00,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-47,BANDAR SCIENTEX JASIN PRESINT 1,Rumah Teres,2,"3, 4","2, 3",107,170,"180,000.00","295,000.00",72.79,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-46,BANDAR SCIENTEX JASIN PRESINT 1,Rumah Teres,2,3,2,83,159,"124,400.00","227,200.00",76.32,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-45,TAMAN SCIENTEX JASIN MUTIARA,Rumah Teres,2,"3, 4","2, 3",154 - 161,281,"344,000.00","565,000.00",66.66,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-44,SCIENTEX BANDAR JASIN,Rumah Teres,2,"3, 4","2, 3",125,289,"286,700.00","433,700.00",76.99,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-43,TAMAN SCIENTEX JASIN MUTIARA,Rumah Teres,2,"3, 4","2, 3",107,211,"180,000.00","270,000.00",96.48,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-42,SCIENTEX BANDAR JASIN,Rumah Kluster,2,4,3,174,28,"510,000.00","750,000.00",80.00,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-42,SCIENTEX BANDAR JASIN,Rumah Kluster,2,4,3,174,8,"606,700.00","710,600.00",76.25,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-42,SCIENTEX BANDAR JASIN,Rumah Kluster,2,4,3,174,152,"470,000.00","629,300.00",77.63,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
6575-41,SCIENTEX BANDAR JASIN,Rumah Teres,2,3,2,107,118,"180,000.00","290,000.00",100.00,Siap Dengan CCC,31/07/2025,31/07/2025,2025-12-28,2025-12-28 05:03:30
6575-40,SCIENTEX BANDAR JASIN,Rumah Teres,2,4,3,154 - 161,336,"322,300.00","443,800.00",100.00,Siap Dengan CCC,10/07/2025,11/07/2025,2025-12-28,2025-12-28 05:03:30
6575-39,TAMAN SCIENTEX JASIN MUTIARA,Rumah Teres,2,3,2,107,188,"180,000.00","300,000.00",100.00,Siap Dengan CCC,10/01/2025,10/01/2025,2025-12-28,2025-12-28 05:03:30
6575-39,TAMAN SCIENTEX JASIN MUTIARA,Rumah Teres,2,3,2,107,16,"184,600.00","280,000.00",100.00,Siap Dengan CCC,10/01/2025,10/01/2025,2025-12-28,2025-12-28 05:03:30
6575-38,TAMAN BUKIT TAMBUN PERDANA 2,Rumah Teres,2,0,0,107,215,"180,000.00","408,000.00",100.00,Siap Dengan CCC,23/01/2025,27/01/2025,2025-12-28,2025-12-28 05:03:30
6575-37,SCIENTEX BANDAR JASIN,Rumah Teres,2,"3, 4","2, 3",107,175,"180,000.00","290,000.00",100.00,Siap Dengan CCC,06/02/2025,10/02/2025,2025-12-28,2025-12-28 05:03:30
6575-36,SCIENTEX JASIN,Rumah Teres,2,4,3,124,224,"255,600.00","470,000.00",100.00,Siap Dengan CCC,26/06/2025,30/06/2025,2025-12-28,2025-12-28 05:03:30
6575-35,SCIENTEX BANDAR JASIN,Rumah Teres,2,0,0,154 - 161,162,"320,000.00","480,000.00",100.00,Siap Dengan CCC,30/04/2024,30/04/2024,2025-12-28,2025-12-28 05:03:30
6575-34,SCIENTEX JASIN,Rumah Teres,2,4,3,124,231,"320,900.00","520,000.00",100.00,Siap Dengan CCC,28/10/2024,28/10/2024,2025-12-28,2025-12-28 05:03:30
6575-33,SCIENTEX BANDAR JASIN,Rumah Teres,2,3,2,107,210,"180,000.00","275,000.00",100.00,Siap Dengan CCC,18/10/2024,18/10/2024,2025-12-28,2025-12-28 05:03:30
6575-32,TAMAN BUKIT TAMBUN PERDANA 2,Rumah Teres,2,4,3,124,211,"267,000.00","415,000.00",100.00,Siap Dengan CCC,20/09/2024,26/09/2024,2025-12-28,2025-12-28 05:03:30
6575-31,SCIENTEX JASIN,Rumah Teres,2,0,0,154 - 161,291,"320,900.00","450,000.00",100.00,Siap Dengan CCC,18/07/2024,19/07/2024,2025-12-28,2025-12-28 05:03:30
6575-30,SCIENTEX BANDAR JASIN,Rumah Teres,2,0,0,124,240,"255,600.00","435,000.00",100.00,Siap Dengan CCC,19/07/2024,19/07/2024,2025-12-28,2025-12-28 05:03:30
6575-29,SCIENTEX JASIN,Rumah Teres,2,0,0,107,188,"180,000.00","295,000.00",100.00,Siap Dengan CCC,30/01/2024,30/01/2024,2025-12-28,2025-12-28 05:03:30
6575-28,SCIENTEX BANDAR JASIN,Rumah Teres,2,0,0,124,232,"255,600.00","428,400.00",100.00,Siap Dengan CCC,28/03/2024,28/03/2024,2025-12-28,2025-12-28 05:03:30
6575-27,TAMAN BUKIT TAMBUN PERDANA 2,Rumah Teres,2,0,0,107,128,"180,000.00","264,800.00",100.00,Siap Dengan CCC,30/11/2023,30/11/2023,2025-12-28,2025-12-28 05:03:30
6575-26,SCIENTEX BANDAR JASIN,Rumah Teres,2,0,0,154 - 161,192,"320,900.00","471,300.00",100.00,Siap Dengan CCC,30/01/2024,30/01/2024,2025-12-28,2025-12-28 05:03:30
6575-25,SCIENTEX JASIN,Rumah Teres,2,3,2,107,235,"180,000.00","266,800.00",100.00,Siap Dengan CCC,05/12/2023,05/12/2023,2025-12-28,2025-12-28 05:03:30
6575-24,TAMAN BUKIT TAMBUN PERDANA 2,Rumah Teres,2,0,0,83,212,"104,400.00","216,500.00",100.00,Siap Dengan CCC,14/07/2023,14/07/2023,2025-12-28,2025-12-28 05:03:30
6575-23,TAMAN BUKIT TAMBUN PERDANA 2,Rumah Teres,2,0,0,154 - 161,196,"323,000.00","490,000.00",100.00,Siap Dengan CCC,31/03/2023,31/03/2023,2025-12-28,2025-12-28 05:03:30
6575-22,SCIENTEX DURIAN TUNGGAL 2,Rumah Teres,2,0,0,124 - 124,271,"248,800.00","480,000.00",100.00,Siap Dengan CCC,25/07/2023,25/07/2023,2025-12-28,2025-12-28 05:03:30
6575-21,SCIENTEX DURIAN TUNGGAL 2,Rumah Teres,2,3,2,107,192,"180,000.00","297,000.00",100.00,Siap Dengan CCC,30/12/2022,30/12/2022,2025-12-28,2025-12-28 05:03:30
6575-20,SCIENTEX DURIAN TUNGGAL 2,Rumah Teres,2,0,0,124,159,"243,800.00","465,000.00",100.00,Siap Dengan CCC,06/10/2022,07/10/2022,2025-12-28,2025-12-28 05:03:30
6575-19,SCIENTEX DURIAN TUNGGAL 2,Rumah Teres,2,0,0,107 - 170,331,"180,000.00","359,000.00",100.00,Siap Dengan CCC,29/07/2022,29/07/2022,2025-12-28,2025-12-28 05:03:30
6575-18,SCIENTEX DURIAN TUNGGAL 2,Rumah Teres,2,0,0,154 - 161,234,"291,000.00","534,100.00",100.00,Siap Dengan CCC,29/06/2022,-,2025-12-28,2025-12-28 05:03:30
6575-17,TAMAN BUKIT TAMBUN PERDANA,Rumah Teres,2,0,0,83,173,"102,200.00","198,400.00",100.00,Siap Dengan CCC,15/12/2021,-,2025-12-28,2025-12-28 05:03:30
6575-16,TAMAN BUKIT TAMBUN PERDANA,Rumah Teres,2,0,0,107,176,"180,000.00","312,900.00",100.00,Siap Dengan CCC,13/10/2021,-,2025-12-28,2025-12-28 05:03:30
6575-15,TAMAN BUKIT TAMBUN PERDANA,Rumah Teres,2,0,0,124,193,"297,800.00","456,900.00",100.00,Siap Dengan CCC,15/07/2021,-,2025-12-28,2025-12-28 05:03:30
