Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L1,"RM 757,000.00","RM 757,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
2,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L2,"RM 640,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
3,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L3,"RM 640,000.00","RM 640,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L4,"RM 640,000.00","RM 640,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
5,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L5,"RM 640,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
6,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L6,"RM 640,000.00","RM 640,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
7,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L7,"RM 640,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
8,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L8,"RM 640,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
9,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L9,"RM 640,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
10,19440-7 RESIDENSI BACHANG,19440 SERTA LEGA DEVELOPMENT SDN. BHD.,19440-7/06-2028/0507(N)-(S),-,L10,"RM 659,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
