Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,2,4,4,0,140,"640,000.00","1,045,000.00",9.04,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
19440-6,TAMAN TANJONG MINYAK JAYA,Rumah Teres,2,4,4,192 - 195,62,"538,000.00","739,000.00",90.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
19440-6,TAMAN TANJONG MINYAK JAYA,Rumah Teres,2,4,4,192,29,"494,000.00","798,600.00",90.00,Lancar,-,-,2025-12-25,2025-12-25 12:14:11
19440-5,TAMAN MUHIBBAH,Rumah Berkembar,1,0,0,160,28,"461,800.00","497,100.00",100.00,Siap Dengan CCC,08/04/2024,02/05/2024,2025-12-25,2025-12-25 12:14:11
19440-5,TAMAN MUHIBBAH,Rumah Sesebuah,1,0,0,180,2,"574,000.00","685,000.00",100.00,Siap Dengan CCC,08/04/2024,09/05/2024,2025-12-25,2025-12-25 12:14:11
19440-4,TAMAN BANDAR BARU SIMPANG EMPAT,Rumah Teres,1,0,0,78,24,"180,000.00","251,000.00",100.00,Siap Dengan CCC,09/06/2022,04/07/2022,2025-12-25,2025-12-25 12:14:11
19440-3,TAMAN MUHIBBAH,Rumah Berkembar,1,0,0,145,14,"489,000.00","538,000.00",100.00,Siap Dengan CCC,16/12/2020,-,2025-12-25,2025-12-25 12:14:11
19440-3,TAMAN MUHIBBAH,Rumah Berkembar,1,0,0,182,16,"541,000.00","566,000.00",100.00,Siap Dengan CCC,16/12/2020,-,2025-12-25,2025-12-25 12:14:11
19440-2,TAMAN SRI TANJUNG DAHAN,Rumah Berkembar,1,0,0,111,12,"318,000.00","356,000.00",100.00,Siap Dengan CCC,22/05/2020,-,2025-12-25,2025-12-25 12:14:11
19440-1,TAMAN GADEK INDAH,Rumah Sesebuah,1,0,0,150,1,"370,000.00","370,000.00",100.00,Siap Dengan CCC,14/06/2019,-,2025-12-25,2025-12-25 12:14:11
19440-1,TAMAN GADEK INDAH,Rumah Berkembar,1,0,0,136,16,"305,000.00","460,000.00",100.00,Siap Dengan CCC,14/06/2019,-,2025-12-25,2025-12-25 12:14:11
