Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.212989,102.268610",Melaka Tengah,Melaka,Mula: 04 Okt 2022   Tamat: 03 Okt 2025,2025-12-25,2025-12-25 12:14:11
2,19977-3 TAMAN BERTAM SETIA,19977 SHANG HEIGHT DEVELOPMENT SDN. BHD.,19977-3/06-2027/0453(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.295757,102.186905",Melaka Tengah,Melaka,Mula: 09 Jun 2025   Tamat: 08 Jun 2027,2025-12-25,2025-12-25 12:14:11
3,19977-2 TAMAN ANGKASA NURI,19977 SHANG HEIGHT DEVELOPMENT SDN. BHD.,19977-2/02-2023/93(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.279689,102.254580",Alor Gajah,Melaka,Mula: 05 Feb 2021   Tamat: 04 Feb 2023,2025-12-25,2025-12-25 12:14:11
4,19977-1 TAMAN ANGKASA NURI,19977 SHANG HEIGHT DEVELOPMENT SDN. BHD.,19977-1/09-2022/0607(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.279551,102.253554",Alor Gajah,Melaka,Mula: 10 Sep 2020   Tamat: 09 Sep 2022,2025-12-25,2025-12-25 12:14:11
5,14627-8 TAMAN BERTAM SETIA,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-8/05-2027/0395(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.295757,102.186905",-,Melaka,Mula: 21 Mei 2025   Tamat: 20 Mei 2027,2025-12-25,2025-12-25 12:14:11
6,14627-7 TAMAN BERTAM SETIA,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-7/09-2026/0821(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.295757,102.186905",Melaka Tengah,Melaka,Mula: 06 Sep 2024   Tamat: 05 Sep 2026,2025-12-25,2025-12-25 12:14:11
7,"14627-6 TAMAN TANJONG MINYAK PERDANA, BERTAM ULU",14627 SHANG HEIGHT REALTY SDN. BHD.,14627-6/03-2026/0279(N)-(L),Lewat,Berfasa,"https://maps.google.com/maps?q=2.288970,102.184888",Melaka Tengah,Melaka,Mula: 01 Apr 2024   Tamat: 31 Mac 2026,2025-12-25,2025-12-25 12:14:11
8,14627-5 TAMAN BUKIT LINTANG PERMAI,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-5/08-2024/0119(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.198117,102.328379",Melaka Tengah,Melaka,Mula: 17 Ogo 2022   Tamat: 16 Ogo 2024,2025-12-25,2025-12-25 12:14:11
9,14627-4 TAMAN BERTAM SETIA,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-4/10-2021/0959(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.294818,102.187600",Melaka Tengah,Melaka,Mula: 17 Okt 2019   Tamat: 16 Okt 2021,2025-12-25,2025-12-25 12:14:11
10,14627-3 SHANG HEIGHT REALTY SDN. BHD.,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-3/03-2020/0215(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.282378,102.206329",Melaka Tengah,Melaka,Mula: 02 Mac 2018   Tamat: 01 Mac 2020,2025-12-25,2025-12-25 12:14:11
11,14627-2 SHANG HEIGHT REALTY SDN. BHD.,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-2/02-2020/0191(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.302040,102.187933",Melaka Tengah,Melaka,Mula: 23 Feb 2018   Tamat: 22 Feb 2020,2025-12-25,2025-12-25 12:14:11
12,14627-1 SHANG HEIGHT REALTY SDN BHD,14627 SHANG HEIGHT REALTY SDN. BHD.,14627-1/02-2019/72(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.223225,102.276074",Melaka Tengah,Melaka,Mula: 03 Feb 2017   Tamat: 02 Feb 2019,2025-12-25,2025-12-25 12:14:11
