Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
30046-1,RESIDENSI BUKIT PIATU MUTIARA,Rumah Pangsa/Kondo,17,"2, 3, 4","2, 3",0,192,"250,000.00","435,490.00",100.00,Siap Dengan CCC,30/06/2025,30/06/2025,2025-12-20,2025-12-20 10:46:36
19977-3,TAMAN BERTAM SETIA,Rumah Teres,2,4,3,163,42,"432,000.00","621,600.00",63.93,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
19977-2,TAMAN ANGKASA NURI,Rumah Teres,1,0,0,90,18,"206,000.00","317,000.00",100.00,Siap Dengan CCC,04/11/2022,08/11/2022,2025-12-20,2025-12-20 10:46:36
19977-2,TAMAN ANGKASA NURI,Rumah Teres,2,4,3,141,27,"286,000.00","372,127.00",100.00,Siap Dengan CCC,04/11/2022,08/11/2022,2025-12-20,2025-12-20 10:46:36
19977-1,TAMAN ANGKASA NURI,Rumah Teres,1,0,0,102,30,"280,000.00","395,585.00",100.00,Siap Dengan CCC,15/06/2022,17/06/2022,2025-12-20,2025-12-20 10:46:36
19977-1,TAMAN ANGKASA NURI,Rumah Teres,1,0,0,102,11,"290,000.00","381,870.00",100.00,Siap Dengan CCC,15/06/2022,17/06/2022,2025-12-20,2025-12-20 10:46:36
19977-1,TAMAN ANGKASA NURI,Rumah Teres,2,0,0,141,21,"340,000.00","450,275.00",100.00,Siap Dengan CCC,15/06/2022,17/06/2022,2025-12-20,2025-12-20 10:46:36
19977-1,TAMAN ANGKASA NURI,Rumah Sesebuah,1,0,0,124,2,"471,015.00","562,545.00",100.00,Siap Dengan CCC,15/06/2022,17/06/2022,2025-12-20,2025-12-20 10:46:36
14627-8,TAMAN BERTAM SETIA,Rumah Teres,2,4,3,163,12,"438,000.00","528,150.00",55.00,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
14627-7,TAMAN BERTAM SETIA,Rumah Teres,2,4,3,163,22,"432,000.00","643,140.00",55.00,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
14627-6,"TAMAN TANJONG MINYAK PERDANA, BERTAM ULU",Rumah Teres,2,3,"2, 3",150 - 167,53,"319,050.00","476,500.00",89.43,Lewat,-,-,2025-12-20,2025-12-20 10:46:36
14627-5,TAMAN BUKIT LINTANG PERMAI,Rumah Teres,1,3,2,39 - 84,53,"180,000.00","306,850.00",100.00,Siap Dengan CCC,04/06/2024,06/06/2024,2025-12-20,2025-12-20 10:46:36
14627-5,TAMAN BUKIT LINTANG PERMAI,Rumah Teres,1,4,2,"106 - 1,679",52,"289,000.00","436,680.00",100.00,Siap Dengan CCC,04/06/2024,06/06/2024,2025-12-20,2025-12-20 10:46:36
14627-4,TAMAN BERTAM SETIA,Rumah Sesebuah,1,0,0,86,1,"428,000.00","428,000.00",100.00,Siap Dengan CCC,28/09/2021,-,2025-12-20,2025-12-20 10:46:36
14627-4,TAMAN BERTAM SETIA,Rumah Teres,1,0,0,74,49,"179,620.00","270,500.00",100.00,Siap Dengan CCC,28/09/2021,-,2025-12-20,2025-12-20 10:46:36
14627-3,SHANG HEIGHT REALTY SDN. BHD.,Rumah Teres,1,0,0,74,42,"180,000.00","322,800.00",100.00,Siap Dengan CCC,26/11/2019,-,2025-12-20,2025-12-20 10:46:36
14627-2,SHANG HEIGHT REALTY SDN. BHD.,Rumah Kluster,1,0,0,82,39,"174,000.00","270,000.00",100.00,Siap Dengan CCC,26/11/2019,-,2025-12-20,2025-12-20 10:46:36
14627-1,SHANG HEIGHT REALTY SDN BHD,Rumah Pangsa/Kondo,14,0,0,907,144,"180,000.00","280,000.00",100.00,Siap Dengan CCC,18/01/2019,-,2025-12-20,2025-12-20 10:46:36
