Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
6259-15,TAMAN TANJONG MINYAK JAYA,Rumah Teres,2,0,0,143,10,"397,000.00","545,000.00",0.00,Belum Mula,-,-,2025-12-21,2025-12-21 03:02:15
6259-15,TAMAN TANJONG MINYAK JAYA,Rumah Teres,2,0,0,143,12,"383,000.00","480,000.00",0.00,Belum Mula,-,-,2025-12-21,2025-12-21 03:02:15
6259-14,TAMAN TANJONG MINYAK JAYA,Rumah Teres,2,4,3,143,10,"362,000.00","446,000.00",100.00,Siap Dengan CCC,23/01/2025,27/01/2025,2025-12-21,2025-12-21 03:02:15
6259-13,TAMAN SAUJANA INDAH,Rumah Teres,2,4,3,141 - 143,7,"283,000.00","397,000.00",0.00,Belum Mula,-,-,2025-12-21,2025-12-21 03:02:15
6259-12,TAMAN TANJONG MINYAK JAYA,Rumah Teres,2,0,0,155,9,"350,000.00","442,240.00",100.00,Siap Dengan CCC,05/07/2022,29/07/2022,2025-12-21,2025-12-21 03:02:15
6259-11,TANJONG MINYAK JAYA,Rumah Teres,2,0,0,101,5,"298,000.00","377,640.00",100.00,Siap Dengan CCC,14/03/2018,-,2025-12-21,2025-12-21 03:02:15
6259-11,TANJONG MINYAK JAYA,Rumah Teres,2,0,0,101,9,"298,000.00","383,830.00",100.00,Siap Dengan CCC,14/03/2018,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,185,7,"460,000.01","588,100.01",100.00,Siap Dengan CCC,06/02/2015,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,185,4,"360,000.00","551,952.00",100.00,Siap Dengan CCC,06/02/2015,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,185,7,"391,000.00","460,000.00",100.00,Siap Dengan CCC,06/02/2015,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,185,10,"391,000.01","548,620.01",100.00,Siap Dengan CCC,06/02/2015,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,185,4,"460,000.02","567,016.02",100.00,Siap Dengan CCC,06/02/2015,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,172,12,"280,000.00","380,000.00",100.00,Siap Dengan CCC,20/11/2017,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,185,13,"272,000.00","382,104.00",100.00,Siap Dengan CCC,20/11/2017,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,172,10,"280,000.00","380,000.00",100.00,Siap Dengan CCC,19/12/2017,-,2025-12-21,2025-12-21 03:02:15
6259-10,TAMAN KRUBONG UTAMA,Rumah Teres,2,0,0,172,11,"280,000.00","350,000.00",100.00,Siap Dengan CCC,19/12/2017,-,2025-12-21,2025-12-21 03:02:15
