Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5074,PTD 19078,"RM 445,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
2,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5075,PTD 19079,"RM 397,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
3,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5076,PTD 19080,"RM 397,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
4,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5077,PTD 19081,"RM 397,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
5,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5078,PTD 19082,"RM 397,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
6,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5079,PTD 19083,"RM 421,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
7,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5080,PTD 19084,"RM 421,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
8,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5081,PTD 19085,"RM 421,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
9,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5082,PTD 19086,"RM 421,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
10,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5083,PTD 19087,"RM 545,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
11,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5084,PTD 19088,"RM 480,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
12,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5085,PTD 19089,"RM 405,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
13,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5086,PTD 19090,"RM 405,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
14,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5087,PTD 19091,"RM 405,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
15,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5088,PTD 19092,"RM 405,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
16,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5089,PTD 19093,"RM 383,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
17,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5090,PTD 19094,"RM 383,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
18,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5091,PTD 19095,"RM 383,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
19,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5092,PTD 19096,"RM 383,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
20,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5093,PTD 19097,"RM 383,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
21,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5094,PTD 19098,"RM 383,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
22,6259-15 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-15/03-2025/0129(R)-(L),H.S.(D) 5095,PTD 19099,"RM 400,000.00",-,Belum Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
23,6259-14 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-14/03-2025/0089(R)-(L),5062,19067,"RM 446,000.00","RM 446,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
24,6259-14 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-14/03-2025/0089(R)-(L),5063,19068,"RM 362,000.00","RM 362,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
25,6259-14 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-14/03-2025/0089(R)-(L),5064,19069,"RM 362,000.00","RM 362,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
