Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Belum Mula,Berfasa,"https://maps.google.com/maps?q=2.264900,102.194720",Melaka Tengah,Melaka,Mula: 16 Mac 2024   Tamat: 15 Mac 2025,2025-12-25,2025-12-25 12:14:11
2,6259-14 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-14/03-2025/0089(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.266440,102.194750",Melaka Tengah,Melaka,Mula: 01 Mac 2024   Tamat: 01 Mac 2025,2025-12-25,2025-12-25 12:14:11
3,6259-13 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-13/02-2025/0021(R)-(L),Permit Telah Dibatalkan,Berfasa,"https://maps.google.com/maps?q=2.246920,102.334697",Melaka Tengah,Melaka,Mula: 10 Feb 2024   Tamat: 09 Feb 2025,2025-12-25,2025-12-25 12:14:11
4,6259-12 TAMAN TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-12/08-2022/0478(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.266574,102.195721",Melaka Tengah,Melaka,Mula: 06 Ogo 2020   Tamat: 05 Ogo 2022,2025-12-25,2025-12-25 12:14:11
5,6259-11 TANJONG MINYAK JAYA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-11/01-2017/29(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.266177,102.195483",Melaka Tengah,Melaka,Mula: 13 Jan 2015   Tamat: 12 Jan 2017,2025-12-25,2025-12-25 12:14:11
6,6259-10 TAMAN KRUBONG UTAMA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-10/12-2018/02499(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.281359,102.239993",Melaka Tengah,Melaka,Mula: 09 Dis 2017   Tamat: 08 Dis 2018,2025-12-25,2025-12-25 12:14:11
7,6259-9 TAMAN KRUBONG UTAMA,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-9/07-2021/02749(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.281359,102.239993",Melaka Tengah,Melaka,Mula: 24 Jul 2020   Tamat: 23 Jul 2021,2025-12-25,2025-12-25 12:14:11
8,6259-8 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-8/1850/2012(09),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 20 Sep 2011   Tamat: 19 Sep 2012,2025-12-25,2025-12-25 12:14:11
9,6259-6 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-6/09-2014/0973(P),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 18 Sep 2013   Tamat: 17 Sep 2014,2025-12-25,2025-12-25 12:14:11
10,6259-4 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-4/965/2009(03),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 20 Mei 2008   Tamat: 29 Mac 2009,2025-12-25,2025-12-25 12:14:11
11,6259-3 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-3/132/2008(01),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 24 Jan 2007   Tamat: 23 Jan 2008,2025-12-25,2025-12-25 12:14:11
12,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 04 Okt 2005   Tamat: 03 Okt 2006,2025-12-25,2025-12-25 12:14:11
