Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Berkembar,2,6,4,0,16,"2,001,000.00","2,773,000.00",80.00,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Berkembar,2,6,4,0,32,"2,001,000.00","3,247,000.00",80.00,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Sesebuah,2,7,6,0,1,"3,213,000.00","3,213,000.00",80.00,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
12417-2,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,0,0,0 - 369,24,"1,470,070.00","1,934,900.00",100.00,Siap Dengan CCC,12/01/2022,24/01/2022,2025-12-28,2025-12-28 05:03:30
12417-2,8 RESIDEN VILLA & LINK,Rumah Teres,2,0,0,237,50,"656,000.00","1,120,000.00",100.00,Siap Dengan CCC,26/10/2020,09/11/2020,2025-12-28,2025-12-28 05:03:30
12417-2,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,0,0,369,24,"1,358,910.00","1,980,000.00",100.00,Siap Dengan CCC,12/01/2022,24/01/2022,2025-12-28,2025-12-28 05:03:30
12417-2,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,5,4,0,48,"1,667,000.00","2,467,000.00",100.00,Siap Dengan CCC,19/11/2024,19/11/2024,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Teres,3,0,0,269,56,"890,135.00","1,966,450.00",100.00,Siap Dengan CCC,25/06/2018,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Sesebuah,3,0,0,636,10,"2,688,000.00","3,655,000.00",100.00,Siap Dengan CCC,14/02/2018,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Sesebuah,3,0,0,636,8,"4,288,000.00","5,187,370.00",100.00,Siap Dengan CCC,14/02/2018,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Sesebuah,2,0,0,518,4,"2,250,000.00","2,357,000.00",100.00,Siap Dengan CCC,14/02/2018,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,0,0,335,14,"1,455,000.00","3,655,000.00",100.00,Siap Dengan CCC,08/01/2020,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Sesebuah,2,0,0,632,1,"2,947,000.00","2,947,000.00",100.00,Siap Dengan CCC,14/02/2018,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,0,0,372,14,"1,535,000.00","1,830,000.00",100.00,Siap Dengan CCC,08/01/2020,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Sesebuah,3,0,0,470,11,"2,222,000.00","4,350,000.00",100.00,Siap Dengan CCC,08/01/2020,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,0,0,331,10,"1,467,000.00","2,304,000.00",100.00,Siap Dengan CCC,08/01/2020,-,2025-12-28,2025-12-28 05:03:30
12417-1,8 RESIDEN VILLA & LINK,Rumah Berkembar,2,0,0,368,4,"1,539,000.00","1,742,000.00",100.00,Siap Dengan CCC,08/01/2020,-,2025-12-28,2025-12-28 05:03:30
