Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 37997,PT 5820,"RM 453,400.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
2,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 37998,PT 5821,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
3,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 37999,PT 5822,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
4,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38000,PT 5823,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
5,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38001,PT 5824,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
6,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38002,PT 5825,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
7,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38003,PT 5826,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
8,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38004,PT 5827,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
9,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38005,PT 5828,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
10,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38006,PT 5829,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
11,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38007,PT 5830,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
12,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38008,PT 5831,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
13,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38009,PT 5832,"RM 409,800.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
14,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38010,PT 5833,"RM 409,800.00","RM 369,000.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
15,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38011,PT 5834,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
16,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38012,PT 5835,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
17,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38013,PT 5836,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
18,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38014,PT 5837,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
19,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38015,PT 5838,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
20,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38016,PT 5839,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
21,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38017,PT 5840,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
22,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38018,PT 5841,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
23,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38019,PT 5842,"RM 359,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
24,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38020,PT 5843,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
25,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38021,PT 5844,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
26,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38022,PT 5845,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
27,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38023,PT 5846,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
28,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38024,PT 5847,"RM 359,000.00","RM 323,100.00",Telah Dijual,Ya,2025-12-20,2025-12-20 10:46:36
29,30761-2 TAMAN REMBIA INDAH,30761 SWISS RELIANCE SDN. BHD.,30761-2/03-2027/0253(N)-(L),HSD 38025,PT 5848,"RM 409,800.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
