Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91617,PT 21306,"RM 649,375.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
2,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91618,PT 21307,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
3,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91619,PT 21308,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
4,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91620,PT 21309,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
5,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91621,PT 21310,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
6,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91622,PT 21311,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
7,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91623,PT 21312,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
8,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91624,PT 21313,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
9,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91625,PT 21314,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
10,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91626,PT 21315,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
11,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91627,PT 21316,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
12,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91628,PT 21317,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
13,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91629,PT 21318,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
14,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91630,PT 21319,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
15,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91631,PT 21320,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
16,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91632,PT 21321,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
17,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91633,PT 21322,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
18,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91634,PT 21323,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
19,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91635,PT 21324,"RM 719,440.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
20,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91636,PT 21325,"RM 722,670.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
21,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91637,PT 21326,"RM 496,555.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
22,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91638,PT 21327,"RM 481,760.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
23,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91639,PT 21328,"RM 480,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
24,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91640,PT 21329,"RM 480,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
25,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91641,PT 21330,"RM 480,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
26,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 91642,PT 21331,"RM 480,000.00",-,Belum Dijual,Ya,2025-12-28,2025-12-28 05:03:30
