Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.188245,102.369567",Melaka Tengah,Melaka,Mula: 04 Nov 2023   Tamat: 03 Nov 2025,2025-12-28,2025-12-28 05:03:30
2,30150-1 TAMAN BUKIT NIBONG DAMAI,30150 TEOBROS HOLDINGS (M) SDN. BHD.,30150-1/06-2026/0336(R)-(L),Sakit,Berfasa,"https://maps.google.com/maps?q=2.188245,102.369567",Melaka Tengah,Melaka,Mula: 06 Jun 2025   Tamat: 05 Jun 2026,2025-12-28,2025-12-28 05:03:30
3,7855-21 TAMAN TEHEL IMPIAN,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-21/05-2026/0397(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.249537,102.326487",Jasin,Melaka,Mula: 12 Mei 2024   Tamat: 11 Mei 2026,2025-12-28,2025-12-28 05:03:30
4,7855-20 TAMAN MERBOK,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-20/09-2024/1489(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.224069,102.288574",Melaka Tengah,Melaka,Mula: 02 Sep 2023   Tamat: 01 Sep 2024,2025-12-28,2025-12-28 05:03:30
5,7855-19 TEOBROS DEVELOPMENT SDN BHD,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-19/09-2015/02290(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 26 Sep 2014   Tamat: 25 Sep 2015,2025-12-28,2025-12-28 05:03:30
6,7855-18 BANDAR BARU ALOR GAJAH,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-18/03-2016/01613(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.363965,102.214693",Alor Gajah,Melaka,Mula: 21 Mac 2015   Tamat: 20 Mac 2016,2025-12-28,2025-12-28 05:03:30
7,7855-17 TAMAN MERBOK 3,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-17/894/2012(04),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 27 Apr 2011   Tamat: 26 Apr 2012,2025-12-28,2025-12-28 05:03:30
8,7855-16 TAMAN PUNCAK MALIM 3,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-16/05-2017/01784(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.249840,102.218514",Melaka Tengah,Melaka,Mula: 25 Mei 2016   Tamat: 24 Mei 2017,2025-12-28,2025-12-28 05:03:30
9,7855-15 TAMAN MERBOK,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-15/1001/2012(05),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 13 Mei 2011   Tamat: 12 Mei 2012,2025-12-28,2025-12-28 05:03:30
10,7855-14 TAMAN SAUJANA PERMAI,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-14/1703/2012(07),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 18 Ogo 2011   Tamat: 20 Jul 2012,2025-12-28,2025-12-28 05:03:30
11,7855-13 TAMAN SAYANG SELASIH,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-13/716/2010(04),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 13 Apr 2009   Tamat: 12 Apr 2010,2025-12-28,2025-12-28 05:03:30
12,7855-12 TAMAN PUNCAK MALIM 2,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-12/02-2024/1357(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.255392,102.219484",Melaka Tengah,Melaka,Mula: 28 Feb 2023   Tamat: 27 Feb 2024,2025-12-28,2025-12-28 05:03:30
13,7855-11 TAMAN MERBOK,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-11/03-2016/01576(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.224857,102.289180",Melaka Tengah,Melaka,Mula: 11 Mac 2015   Tamat: 10 Mac 2016,2025-12-28,2025-12-28 05:03:30
14,7855-10 TAMAN SAYANG SELASIH,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-10/1032/2009(12),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 25 Mei 2009   Tamat: 25 Dis 2009,2025-12-28,2025-12-28 05:03:30
15,7855-9 TAMAN PUNCAK MALIM,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-9/2702/2008(12),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 28 Dis 2007   Tamat: 27 Dis 2008,2025-12-28,2025-12-28 05:03:30
16,7855-7 TAMAN SEMABOK PERMAI,7855 TEOBROS DEVELOPMENT SDN. BHD.,7855-7/1647/2005(09),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 24 Sep 2004   Tamat: 23 Sep 2005,2025-12-28,2025-12-28 05:03:30
