Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31199-1,TAMAN BANDAR BAHARU KIJAL,Rumah Teres,1,4,2,124 - 142,56,"278,800.00","362,000.00",95.36,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
30150-1,TAMAN BUKIT NIBONG DAMAI,Rumah Teres,1,4,2,127 - 142,31,"298,800.00","382,800.00",95.32,Sakit,-,-,2025-12-28,2025-12-28 05:03:30
7855-21,TAMAN TEHEL IMPIAN,Rumah Teres,1,4,2,125 - 142,24,"288,000.00","443,000.00",88.75,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
7855-21,TAMAN TEHEL IMPIAN,Rumah Teres,1,4,2,129 - 142,15,"291,230.00","436,000.00",89.00,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
7855-21,TAMAN TEHEL IMPIAN,Rumah Sesebuah,1,0,0,174,2,"544,000.00","576,000.00",88.75,Lancar,-,-,2025-12-28,2025-12-28 05:03:30
7855-20,TAMAN MERBOK,Rumah Teres,2,4,3,258,22,"420,000.00","523,000.00",100.00,Siap Dengan CCC,05/03/2024,14/03/2024,2025-12-28,2025-12-28 05:03:30
7855-19,TEOBROS DEVELOPMENT SDN BHD,Rumah Teres,3,0,0,107,108,"568,000.00","838,965.00",100.00,Siap Dengan CCC,25/02/2015,-,2025-12-28,2025-12-28 05:03:30
7855-18,BANDAR BARU ALOR GAJAH,Rumah Teres,1,0,0,128,107,"178,800.00","253,530.00",100.00,Siap Dengan CCC,26/05/2016,-,2025-12-28,2025-12-28 05:03:30
7855-18,BANDAR BARU ALOR GAJAH,Rumah Teres,1,0,0,118,110,"163,800.00","240,480.00",100.00,Siap Dengan CCC,26/05/2016,-,2025-12-28,2025-12-28 05:03:30
7855-18,BANDAR BARU ALOR GAJAH,Rumah Berkembar,1,0,0,153,34,"268,800.00","374,971.00",100.00,Siap Dengan CCC,07/07/2014,-,2025-12-28,2025-12-28 05:03:30
7855-18,BANDAR BARU ALOR GAJAH,Rumah Sesebuah,1,0,0,0,1,"368,800.00","368,800.00",100.00,Siap Dengan CCC,07/07/2014,-,2025-12-28,2025-12-28 05:03:30
7855-17,TAMAN MERBOK 3,Rumah Teres,2,0,0,0,25,"327,800.00","477,000.00",100.00,Siap Dengan CCC,02/12/2013,-,2025-12-28,2025-12-28 05:03:30
7855-16,TAMAN PUNCAK MALIM 3,Rumah Berkembar,2.5,0,0,365,18,"560,424.00","822,500.00",100.00,Siap Dengan CCC,30/01/2013,-,2025-12-28,2025-12-28 05:03:30
7855-16,TAMAN PUNCAK MALIM 3,Rumah Berkembar,2,0,0,283,40,"466,216.00","770,200.00",100.00,Siap Dengan CCC,30/01/2013,-,2025-12-28,2025-12-28 05:03:30
7855-16,TAMAN PUNCAK MALIM 3,Rumah Teres,2,0,0,222,74,"278,800.00","513,232.00",100.00,Siap Dengan CCC,30/06/2017,-,2025-12-28,2025-12-28 05:03:30
