Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),Belum Mula,Berfasa,,Melaka Tengah,Melaka,Mula: 02 Okt 2025   Tamat: 01 Okt 2027,2025-12-16,2025-12-16 15:06:50
2,7305-38 TAMAN BERTAM HEIGHTS,7305 TELADAN SETIA SDN. BHD.,7305-38/04-2027/0278(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.305556,102.188889",Melaka Tengah,Melaka,Mula: 14 Apr 2025   Tamat: 13 Apr 2027,2025-12-16,2025-12-16 15:06:50
3,7305-37 TAMAN IMPIANA KESANG,7305 TELADAN SETIA SDN. BHD.,7305-37/11-2026/1015(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.324167,102.372244",Jasin,Melaka,Mula: 06 Nov 2024   Tamat: 05 Nov 2026,2025-12-16,2025-12-16 15:06:50
4,7305-36 TAMAN IMPIANA KESANG,7305 TELADAN SETIA SDN. BHD.,7305-36/11-2026/1000(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.324144,102.372282",Jasin,Melaka,Mula: 04 Nov 2024   Tamat: 03 Nov 2026,2025-12-16,2025-12-16 15:06:50
5,7305-35 RUMAH BANDAR TAMAN BERTAM HEIGHTS,7305 TELADAN SETIA SDN. BHD.,7305-35/05-2027/0372(A)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.303278,102.191082",Melaka Tengah,Melaka,Mula: 06 Mei 2024   Tamat: 05 Mei 2027,2025-12-16,2025-12-16 15:06:50
6,7305-34 TAMAN BERTAM HEIGHTS,7305 TELADAN SETIA SDN. BHD.,7305-34/12-2026/1328(A)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.300200,102.183130",Melaka Tengah,Melaka,Mula: 15 Dis 2023   Tamat: 14 Dis 2026,2025-12-16,2025-12-16 15:06:50
7,7305-33 TAMAN IMPIANA KESANG,7305 TELADAN SETIA SDN. BHD.,7305-33/11-2025/1225(N)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.323905,102.372382",Jasin,Melaka,Mula: 08 Nov 2023   Tamat: 07 Nov 2025,2025-12-16,2025-12-16 15:06:50
8,7305-32 TAMAN BERTAM HEIGHTS,7305 TELADAN SETIA SDN. BHD.,7305-32/05-2025/0593(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.301220,102.183140",Melaka Tengah,Melaka,Mula: 25 Mei 2023   Tamat: 24 Mei 2025,2025-12-16,2025-12-16 15:06:50
9,7305-31 TAMAN IMPIANA KESANG,7305 TELADAN SETIA SDN. BHD.,7305-31/11-2025/0778(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.192950,102.222100",Jasin,Melaka,Mula: 24 Nov 2024   Tamat: 23 Nov 2025,2025-12-16,2025-12-16 15:06:50
10,7305-30 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-30/09-2025/0635(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.300544,102.178608",Melaka Tengah,Melaka,Mula: 14 Sep 2024   Tamat: 13 Sep 2025,2025-12-16,2025-12-16 15:06:50
11,7305-29 TAMAN BERTAM HEIGHTS,7305 TELADAN SETIA SDN. BHD.,7305-29/01-2025/1697(R)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.300173,102.183167",Melaka Tengah,Melaka,Mula: 15 Jan 2024   Tamat: 14 Jan 2025,2025-12-16,2025-12-16 15:06:50
12,7305-28 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-28/08-2024/1125(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.298299,102.177468",Melaka Tengah,Melaka,Mula: 12 Ogo 2023   Tamat: 11 Ogo 2024,2025-12-16,2025-12-16 15:06:50
13,7305-27 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-27/06-2022/0128(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.301580,102.176870",Melaka Tengah,Melaka,Mula: 10 Jun 2020   Tamat: 09 Jun 2022,2025-12-16,2025-12-16 15:06:50
14,7305-26 TAMAN BERTAM SETIA,7305 TELADAN SETIA SDN. BHD.,7305-26/04-2021/0345(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.295432,102.188356",Melaka Tengah,Melaka,Mula: 18 Apr 2019   Tamat: 17 Apr 2021,2025-12-16,2025-12-16 15:06:50
15,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.295670,102.173880",Melaka Tengah,Melaka,Mula: 07 Jun 2020   Tamat: 06 Jun 2021,2025-12-16,2025-12-16 15:06:50
16,7305-24 TAMAN BERTAM SETIA,7305 TELADAN SETIA SDN. BHD.,7305-24/08-2017/0735(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.297534,102.187985",Melaka Tengah,Melaka,Mula: 25 Ogo 2015   Tamat: 24 Ogo 2017,2025-12-16,2025-12-16 15:06:50
17,7305-23 TAMAN BELIMBING SETIA,7305 TELADAN SETIA SDN. BHD.,7305-23/03-2022/01369(P),Permit Telah Dibatalkan,Berfasa,"https://maps.google.com/maps?q=2.322133,102.263072",Alor Gajah,Melaka,Mula: 26 Mac 2021   Tamat: 25 Mac 2022,2025-12-16,2025-12-16 15:06:50
18,7305-22 TAMAN SERI TUAH PERMAI,7305 TELADAN SETIA SDN. BHD.,7305-22/11-2015/0816(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.301825,102.266673",Alor Gajah,Melaka,Mula: 05 Nov 2013   Tamat: 04 Nov 2015,2025-12-16,2025-12-16 15:06:50
