Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
7305-39,TAMAN DESA BERTAM,Rumah Kluster,1,4,2,158,217,"479,395.00","789,895.00",0.00,-,-,-,2025-12-20,2025-12-20 10:46:36
7305-39,TAMAN DESA BERTAM,Rumah Berkembar,2,4,4,251,12,"792,870.00","886,110.00",0.00,-,-,-,2025-12-20,2025-12-20 10:46:36
7305-39,TAMAN DESA BERTAM,Rumah Teres,1,4,2,132,56,"400,000.00","683,320.00",0.00,-,-,-,2025-12-20,2025-12-20 10:46:36
7305-38,TAMAN BERTAM HEIGHTS,Rumah Teres,1,3,2,103,201,"220,000.00","350,000.00",21.24,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-38,TAMAN BERTAM HEIGHTS,Rumah Teres,1,3,2,103,218,"220,000.00","350,000.00",14.34,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-37,TAMAN IMPIANA KESANG,Rumah Teres,1,4,"2, 4",145,97,"320,000.00","415,445.00",63.66,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-37,TAMAN IMPIANA KESANG,Rumah Teres,1,3,2,102,32,"180,000.00","284,272.00",65.00,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-36,TAMAN IMPIANA KESANG,Rumah Teres,1,4,2,145,71,"320,000.00","503,279.00",30.00,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-36,TAMAN IMPIANA KESANG,Rumah Teres,1,3,2,102,92,"180,000.00","277,167.00",55.98,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-35,RUMAH BANDAR TAMAN BERTAM HEIGHTS,Rumah Bandar,2,3,2,0,211,"120,000.00","214,000.00",66.16,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-34,TAMAN BERTAM HEIGHTS,Rumah Berkembar,2,4,4,0,66,"850,000.00","1,072,450.00",85.38,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-34,TAMAN BERTAM HEIGHTS,Rumah Teres,2,4,"3, 4",0,286,"650,000.00","893,440.00",85.09,Lancar,-,-,2025-12-20,2025-12-20 10:46:36
7305-33,TAMAN IMPIANA KESANG,Rumah Teres,1,3,2,102,128,"180,000.00","273,615.00",100.00,Siap Dengan CCC,13/10/2025,14/10/2025,2025-12-20,2025-12-20 10:46:36
7305-33,TAMAN IMPIANA KESANG,Rumah Teres,1,3,2,102,96,"180,000.00","270,386.00",100.00,Siap Dengan CCC,16/10/2025,16/10/2025,2025-12-20,2025-12-20 10:46:36
7305-32,TAMAN BERTAM HEIGHTS,Rumah Teres,1,3,2,104,234,"180,000.00","320,000.00",100.00,Siap Dengan CCC,23/05/2025,26/05/2025,2025-12-20,2025-12-20 10:46:36
7305-32,TAMAN BERTAM HEIGHTS,Rumah Teres,1,3,"2, 3",104,208,"177,800.00","368,780.00",100.00,Siap Dengan CCC,23/05/2025,26/05/2025,2025-12-20,2025-12-20 10:46:36
7305-31,TAMAN IMPIANA KESANG,Rumah Teres,1,4,2,127,201,"320,000.00","401,667.00",100.00,Siap Dengan CCC,24/01/2025,24/01/2025,2025-12-20,2025-12-20 10:46:36
7305-31,TAMAN IMPIANA KESANG,Rumah Teres,1,0,0,86,116,"120,000.00","333,419.00",100.00,Siap Dengan CCC,24/01/2025,24/01/2025,2025-12-20,2025-12-20 10:46:36
