Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91617,PT 21306,"RM 649,375.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
2,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91618,PT 21307,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
3,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91619,PT 21308,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91620,PT 21309,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
5,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91621,PT 21310,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
6,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91622,PT 21311,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
7,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91623,PT 21312,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
8,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91624,PT 21313,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
9,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91625,PT 21314,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
10,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91626,PT 21315,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
11,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91627,PT 21316,"RM 520,000.00",-,Belum Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
12,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91628,PT 21317,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
13,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91629,PT 21318,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
14,7305-39 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-39/10-2027/0808(N)-(L),HSD 91630,PT 21319,"RM 520,000.00",-,Belum Dijual,Ya,2025-12-20,2025-12-20 10:46:36
